eid,canonical_name,entity_type,is_inferred,created_source,fund_rows,fund_aum_usd,filer_rows,filer_aum_usd,ech_class,ech_is_activist,ech_source,ciks
20415,BlackRock California Municipal Opportunities Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
20416,BlackRock New Jersey Municipal Bond Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
20417,BlackRock New York Municipal Opportunities Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
20418,BlackRock Pennsylvania Municipal Bond Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
20419,BlackRock Strategic Municipal Opportunities Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
20420,BlackRock Total Return Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
20792,BlackRock Multi-Asset Income Portfolio,fund,True,ncen_adviser_map,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21036,BlackRock Short Obligations Fund,fund,True,ncen_adviser_map,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21048,BlackRock Global Equity Market Neutral Fund,fund,True,ncen_adviser_map,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21176,BlackRock Dynamic High Income Portfolio,fund,True,ncen_adviser_map,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21524,BlackRock Income Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21525,BlackRock Strategic Income Opportunities Portfolio,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21526,BlackRock Floating Rate Income Portfolio,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21527,BlackRock High Yield Portfolio,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21528,BlackRock Low Duration Bond Portfolio,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21529,BlackRock Core Bond Portfolio,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21530,BlackRock Mortgage-Backed Securities Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21531,BlackRock Inflation Protected Bond Portfolio,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21532,BlackRock Securitized Income Fund,fund,True,fund_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21533,BlackRock Systematic Multi-Strategy Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21534,BlackRock Credit Relative Value Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21535,BlackRock High Yield Portfolio,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21536,BlackRock High Yield V.I. Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21537,BlackRock Total Return V.I. Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21945,BlackRock U.S. Carbon Transition Readiness ETF,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
21946,BlackRock World ex U.S. Carbon Transition Readiness ETF,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
22024,BlackRock Sustainable High Yield Bond Fund,fund,True,family_name_alias_match,,0.0,,0.0,passive,False,stg_nport_fund_universe,
22342,BlackRock Diversified Fixed Income Fund,fund,True,ncen_adviser_map,,0.0,,0.0,passive,False,stg_nport_fund_universe,
22423,BlackRock U.S. Insights Long/Short Equity Fund,fund,True,ncen_adviser_map,,0.0,,0.0,passive,False,stg_nport_fund_universe,
18003,BlackRock Asset Management North Asia Limited,institution,True,ncen_adviser_map,,0.0,,0.0,,,,
18699,"BlackRock Financial Management, Inc.",institution,True,ncen_adviser_map,,0.0,,0.0,,,,
