cik,filer_rows,filer_aum,distinct_filer_eids,filer_eid,filer_name,filer_canonical_name,filer_entity_type
0001726609,235,830716424,1,7149,"AAF Wealth Management, LLC","AAF Wealth Management, LLC",institution
0002030667,627,830613717,1,10659,"Sage Capital Management, LLC","Sage Capital Management, LLC",institution
0001592616,894,830282828,1,9589,Notis-McConarty Edward,Notis-McConarty Edward,institution
0001986812,60,829475789,1,7947,Employees' Retirement Fund of the City of Fort Worth,Employees' Retirement Fund of the City of Fort Worth,institution
0001389848,183,829369757,1,11143,Arlington Partners LLC,Arlington Partners LLC,institution
0002019316,757,828246638,1,10804,"Heritage Family Offices, LLP","Heritage Family Offices, LLP",institution
0001909993,172,828169046,1,8468,"Dixon Fnancial Services, Inc.","DIXON FNANCIAL SERVICES, INC.",institution
0001680493,164,828064621,1,8219,Mirabaud Asset Management Ltd,Mirabaud Asset Management Ltd,institution
0001954832,293,827982314,1,6626,"Leslie Global Wealth, LLC","Leslie Global Wealth, LLC",institution
0000894119,75,827398757,1,8285,Anchor Capital Management Group Inc,Anchor Capital Management Group Inc,institution
0002000730,96,826819718,1,7952,Tribune Investment Group LP,Tribune Investment Group LP,institution
0001842557,196,826793828,1,7162,Tandem Wealth Advisors LLC,Tandem Wealth Advisors LLC,institution
