cik,registrant_name,rows_unknown,aum_unknown_usd,mig015_unknown_prefix,other_backfill_prefix,edgar_accession,syn_companion_rows,syn_companion_aum_usd,has_SYN_companion,in_n2_universe
0000002230,"ADAMS DIVERSIFIED EQUITY FUND, INC. (ADX)",96,2988710000,96,0,0,291,8826039000,True,False
0001230869,ASA Gold & Precious Metals Ltd (ASA),350,1752485000,350,0,0,143,1094382000,True,False
