series_id,fund_name,family_name,current_fund_strategy,proposed_fund_strategy,total_net_assets,triggering_pattern
S000055694,PGIM Target Date 2025 Fund,Prudential Investment Portfolios 5,equity,passive,48706705.81,target_date
S000003961,PROFUND VP BULL,ProFunds,balanced,passive,48188068.5,profund
S000003979,PROFUND VP TECHNOLOGY,ProFunds,equity,passive,48029103.82,profund
S000067428,Dimensional 2065 Target Date Retirement Income Fund,DFA INVESTMENT DIMENSIONS GROUP INC,equity,passive,44556437.96,target_date
S000003705,Dow 2x Strategy Fund,Rydex Dynamic Funds,equity,passive,43298063.19,leveraged_digit_x
S000003065,ULTRA DOW 30 PROFUND,ProFunds,balanced,passive,42466713.8,profund
S000003965,PROFUND VP BIOTECHNOLOGY,ProFunds,equity,passive,41177139.32,profund
S000019112,Madison Target Retirement 2040 Fund,ULTRA SERIES FUND,equity,passive,40715899.11,target_retirement
S000057187,Direxion Daily Industrials Bull 3X Shares,Direxion Shares ETF Trust,balanced,passive,40295672.32,leveraged_digit_x
S000003987,PROFUND VP LARGE CAP GROWTH,ProFunds,equity,passive,39008777.29,profund
S000067193,American Funds IS 2030 Target Date Fund,AMERICAN FUNDS INSURANCE SERIES,equity,passive,38730008.4,target_date
S000003063,ULTRA MID CAP PROFUND,ProFunds,balanced,passive,38448971.34,profund
S000003112,HEALTH CARE ULTRASECTOR PROFUND,ProFunds,balanced,passive,37873747.07,profund
S000003970,PROFUND VP FINANCIALS,ProFunds,equity,passive,37022399.57,profund
S000055698,PGIM Target Date 2045 Fund,Prudential Investment Portfolios 5,equity,passive,36915304.19,target_date
S000008851,PROFUND VP EMERGING MARKETS,ProFunds,equity,passive,35855233.69,profund
S000003100,COMMUNICATION SERVICES ULTRASECTOR PROFUND,ProFunds,balanced,passive,35811764.11,profund
S000003971,PROFUND VP HEALTH CARE,ProFunds,equity,passive,34597766.55,profund
S000030254,Madison Target Retirement 2050 Fund,ULTRA SERIES FUND,equity,passive,34393094.37,target_retirement
S000003102,MATERIALS ULTRASECTOR PROFUND,ProFunds,balanced,passive,34266430.59,profund
S000014254,ProShares Ultra Industrials,ProShares Trust,balanced,passive,33982291.1,proshares
S000055693,PGIM Target Date 2020 Fund,Prudential Investment Portfolios 5,equity,passive,33505199.1,target_date
S000024920,ProShares UltraPro MidCap400,ProShares Trust,balanced,passive,32863917.89,proshares
S000067191,American Funds IS 2020 Target Date Fund,AMERICAN FUNDS INSURANCE SERIES,equity,passive,32721211.78,target_date
S000027487,Direxion Daily Retail Bull 3X Shares,Direxion Shares ETF Trust,balanced,passive,32712980.51,leveraged_digit_x
S000003981,PROFUND VP UTILITIES,ProFunds,equity,passive,32593705.23,profund
S000083879,Direxion Daily AI and Big Data Bull 2X Shares,Direxion Shares ETF Trust,balanced,passive,31060588.16,leveraged_digit_x
S000003969,PROFUND VP ENERGY,ProFunds,equity,passive,29637623.64,profund
S000090187,ProShares Ultra QQQ Mega,ProShares Trust,balanced,passive,29169062.43,qqq
S000055691,PGIM Target Date Income Fund,Prudential Investment Portfolios 5,equity,passive,28531625.01,target_date
S000056591,Natixis Target Retirement 2050 Fund,Natixis Funds Trust IV,equity,passive,27103221.48,target_retirement
S000003108,CONSUMER DISCRETIONARY ULTRASECTOR PROFUND,ProFunds,balanced,passive,26201477.86,profund
S000056590,Natixis Target Retirement 2045 Fund,Natixis Funds Trust IV,equity,passive,26200468.17,target_retirement
S000020739,ULTRACHINA PROFUND,ProFunds,balanced,passive,26187441.46,profund
S000068488,VOYA TARGET RETIREMENT 2065 FUND,Voya Separate Portfolios Trust,equity,passive,26099976.1,target_retirement
S000056589,Natixis Target Retirement 2040 Fund,Natixis Funds Trust IV,balanced,passive,26025507.01,target_retirement
S000014259,ProShares Ultra SmallCap600,ProShares Trust,balanced,passive,24722715.91,proshares
S000055699,PGIM Target Date 2050 Fund,Prudential Investment Portfolios 5,equity,passive,24303158.46,target_date
S000067192,American Funds IS 2025 Target Date Fund,AMERICAN FUNDS INSURANCE SERIES,equity,passive,24018479.26,target_date
S000027484,Direxion Daily Consumer Discretionary Bull 3X Shares,Direxion Shares ETF Trust,balanced,passive,23221555.04,leveraged_digit_x
S000003955,PROFUND VP ULTRABULL,ProFunds,balanced,passive,22720995.18,profund
S000056592,Natixis Target Retirement 2055 Fund,Natixis Funds Trust IV,equity,passive,22658104.48,target_retirement
S000050935,DIMENSIONAL 2015 TARGET DATE RETIREMENT INCOME FUND,DFA INVESTMENT DIMENSIONS GROUP INC,equity,passive,22186759.68,target_date
S000067194,American Funds IS 2035 Target Date Fund,AMERICAN FUNDS INSURANCE SERIES,equity,passive,20891965.74,target_date
S000003967,PROFUND VP CONSUMER DISCRETIONARY,ProFunds,equity,passive,19607860.63,profund
S000003072,LARGE-CAP GROWTH PROFUND,ProFunds,equity,passive,19390469.26,profund
S000003952,PROFUND VP ASIA 30,ProFunds,balanced,passive,19234427.64,profund
S000080323,American Funds IS 2040 Target Date Fund,AMERICAN FUNDS INSURANCE SERIES,equity,passive,18936581.63,target_date
S000003990,PROFUND VP SMALLCAP VALUE,ProFunds,equity,passive,18865024.62,profund
S000056588,Natixis Target Retirement 2035 Fund,Natixis Funds Trust IV,balanced,passive,18413351.64,target_retirement
S000056584,Natixis Target Retirement 2060 Fund,Natixis Funds Trust IV,equity,passive,18210086.2,target_retirement
S000003110,ENERGY ULTRASECTOR PROFUND,ProFunds,balanced,passive,18138832.07,profund
