fund_strategy,n,aum_b
active,4837,11740.360058066966
excluded,3806,5213.912549625593
bond_or_other,2857,4951.465964080369
passive,1582,17267.744280341743
balanced,567,1551.9400970553013
multi_asset,221,457.28895901837996
final_filing,54,18.669044351449998
