block,series_id,fund_name,current_value,proposed_value,source,new_strategy_source,support_quarter,support_row_count,support_sum_mv,support_implied_nav
B,S000083143,Natixis Gateway Quality Income ETF,,222033101.25,canonical_nport,orphan_backfill_2026Q2,2025Q4,97,222176163.59,222033101.25
B,S000083162,Mohr Company NAV ETF,,34876922.21,canonical_nport,orphan_backfill_2026Q2,2025Q4,40,34034862.73,34876922.21
B,S000083459,Bancreek U.S. Large Cap ETF,,96610000.56,canonical_nport,orphan_backfill_2026Q2,2025Q4,31,96587066.21,96610000.56
B,S000083461,TEXAS CAPITAL TEXAS OIL INDEX ETF,,10000012.19,canonical_nport,orphan_backfill_2026Q2,2025Q4,28,9986966.48,10000012.19
B,S000083462,TEXAS CAPITAL TEXAS SMALL CAP EQUITY INDEX ETF,,10642169.00,canonical_nport,orphan_backfill_2026Q2,2025Q3,186,10644063.52,10642169.00
B,S000083896,American Beacon GLG Natural Resources ETF,,487537858.10,canonical_nport,orphan_backfill_2026Q2,2026Q1,52,472989742.01,487537858.10
B,S000083940,MassMutual Clinton Municipal Credit Opportunities Fund,,55665608.23,canonical_nport,orphan_backfill_2026Q2,2025Q4,36,55247705.61,55665608.23
B,S000083941,MassMutual Clinton Municipal Fund,,63228158.31,canonical_nport,orphan_backfill_2026Q2,2025Q4,43,62531083.77,63228158.31
B,S000083942,MassMutual Clinton Limited Term Municipal Fund,,58923669.24,canonical_nport,orphan_backfill_2026Q2,2025Q4,40,58453294.47,58923669.24
B,S000084270,Bancreek International Large Cap ETF,,73347684.34,canonical_nport,orphan_backfill_2026Q2,2025Q4,31,73258983.01,73347684.34
B,S000084308,North Shore Equity Rotation ETF,,52367942.00,canonical_nport,orphan_backfill_2026Q2,2025Q4,40,52392565.60,52367942.00
B,S000084370,DailyDelta Q100 Downside Option Strategy ETF,,85829.04,canonical_nport,orphan_backfill_2026Q2,2025Q4,1,27365.44,85829.04
B,S000084371,DailyDelta Q100 Upside Option Strategy ETF,,392343.85,canonical_nport,orphan_backfill_2026Q2,2025Q4,1,9912.99,392343.85
B,S000084449,Obra Opportunistic Structured Products ETF,,37011763.82,canonical_nport,orphan_backfill_2026Q2,2025Q4,98,36677454.16,37011763.82
B,S000084450,Obra High Grade Structured Products ETF,,29505002.94,canonical_nport,orphan_backfill_2026Q2,2025Q4,103,29290647.89,29505002.94
B,S000084713,Anydrus Advantage ETF,,57168179.90,canonical_nport,orphan_backfill_2026Q2,2025Q4,118,56253492.63,57168179.90
B,S000084822,Stratified LargeCap Hedged ETF,,23203380.62,canonical_nport,orphan_backfill_2026Q2,2025Q4,4,23511733.39,23203380.62
B,S000084823,Stratified LargeCap Index ETF,,115765462.49,canonical_nport,orphan_backfill_2026Q2,2025Q4,506,115699984.03,115765462.49
B,S000084932,Genter Capital Taxable Quality Intermediate ETF,,80811342.66,canonical_nport,orphan_backfill_2026Q2,2026Q1,55,79873289.36,80811342.66
B,S000084933,Genter Capital Municipal Quality Intermediate ETF,,19601308.28,canonical_nport,orphan_backfill_2026Q2,2026Q1,81,19651144.51,19601308.28
B,S000085069,Palmer Square Credit Opportunities ETF,,118306281.88,canonical_nport,orphan_backfill_2026Q2,2025Q4,320,118641203.42,118306281.88
B,S000085236,Rareview Total Return Bond ETF,,52992573.74,canonical_nport,orphan_backfill_2026Q2,2025Q4,156,52246300.31,52992573.74
B,S000085351,FundX Future Fund Opportunities ETF,,183269602.72,canonical_nport,orphan_backfill_2026Q2,2025Q4,85,186851100.06,183269602.72
B,S000085894,Long Pond Real Estate Select ETF,,92025760.99,canonical_nport,orphan_backfill_2026Q2,2025Q4,27,92050385.92,92025760.99
B,S000086506,TEXAS CAPITAL GOVERNMENT MONEY MARKET ETF,,70149217.95,canonical_nport,orphan_backfill_2026Q2,2025Q4,36,70067665.23,70149217.95
B,S000086524,Palmer Square CLO Senior Debt ETF,,71682401.39,canonical_nport,orphan_backfill_2026Q2,2025Q4,75,71736129.94,71682401.39
B,S000086526,Eventide High Dividend ETF,,161375257.50,canonical_nport,orphan_backfill_2026Q2,2026Q1,46,160203051.77,161375257.50
B,S000087726,Select STOXX Europe Aerospace & Defense ETF,,1113911337.82,canonical_nport,orphan_backfill_2026Q2,2025Q4,14,1010961152.91,1113911337.82
B,S000088547,GMO Beyond China ETF,,12211030.88,canonical_nport,orphan_backfill_2026Q2,2025Q4,94,12287487.45,12211030.88
B,S000088548,GMO International Quality ETF,,252431202.95,canonical_nport,orphan_backfill_2026Q2,2025Q4,34,252496682.15,252431202.95
B,S000088549,GMO International Value ETF,,231324039.28,canonical_nport,orphan_backfill_2026Q2,2025Q4,164,231124964.16,231324039.28
B,S000088550,GMO Systematic Investment Grade Credit ETF,,19242466.93,canonical_nport,orphan_backfill_2026Q2,2025Q4,131,18985253.06,19242466.93
