top_parent_entity_id,name,matched_terms,thirteen_f_b,fund_tier_b_matrix_doubled,coverage_class
8424,BANK OF AMERICA CORP /DE/,BANK ,1473.915614101,0.0,13F_only
91,Norges Bank,BANK ,934.755639394,0.0,13F_only
7440,Royal Bank of Canada,BANK ,614.691729,0.0,13F_only
1401,Bank of New York Mellon Corp,BANK ,567.68625302,0.0,13F_only
8994,MANULIFE FINANCIAL CORP,FINANCIAL CORP,121.696840391,296.26258245778047,both
