series_id,fund_name,fund_cik,derived_strategy,support_pct,row_count,aum_usd,source
S000072683,abrdn Bloomberg Industrial Metals Strategy K-1 Free ETF,0001597934,excluded,1.000000,29,22735279.18,majority
S000074345,Large Cap Value Portfolio I,0001852344,active,1.000000,29,5255629.35,majority
S000087726,Select STOXX Europe Aerospace & Defense ETF,0001484018,excluded,1.000000,28,2147350143.21,majority
S000068960,Natixis Vaughan Nelson Select ETF,0001728860,excluded,1.000000,28,13549807.13,majority
S000085894,Long Pond Real Estate Select ETF,0001547950,excluded,1.000000,27,92050385.92,majority
S000076645,Day Hagan Smart Sector International ETF,0001506213,excluded,1.000000,27,72456453.46,majority
S000074333,"Short Term Investment Fund for Puerto Rico Residents, Inc.",0001847310,bond_or_other,1.000000,27,135519630.09,majority
S000089482,PLUS Korea Defense Industry Index ETF,0001547950,passive,1.000000,25,57370744.70,majority
S000068387,ETC Cabana Target Beta ETF,0001547950,excluded,1.000000,24,116511295.29,majority
S000068388,ETC Cabana Target Drawdown 10 ETF,0001547950,excluded,1.000000,23,242474619.05,majority
S000091576,CoinShares Altcoins ETF,0001877493,excluded,1.000000,22,1613307.05,majority
S000077553,FundX Aggressive ETF,0001602508,excluded,1.000000,21,27585960.00,majority
S000035083,AZL MVP Global Balanced Index Strategy Fund,0001301708,passive,1.000000,20,802653371.00,majority
S000072879,Mindful Conservative ETF,0001719812,excluded,1.000000,17,8067031.13,majority
S000094781,GMO Dynamic Allocation ETF,0001981627,excluded,1.000000,17,18703767.47,majority
S000073631,Day Hagan Smart Sector Fixed Income ETF,0001506213,excluded,1.000000,17,65348142.81,majority
S000035081,AZL MVP Balanced Index Strategy Fund,0001301708,passive,1.000000,14,1319750274.22,majority
S000035084,AZL MVP Moderate Index Strategy Fund,0001301708,passive,1.000000,14,590469698.49,majority
S000075551,X-Square Municipal Income ETF,0001901443,excluded,1.000000,14,4478841.69,majority
S000035082,AZL MVP Growth Index Strategy Fund,0001301708,passive,1.000000,14,3277699369.07,majority
S000069799,Rareview Tax Advantaged Income ETF,0001719812,excluded,1.000000,14,17667998.94,majority
S000072148,ETC Cabana Target Leading Sector Moderate ETF,0001547950,excluded,1.000000,14,216810769.40,majority
S000059404,Aspiriant Risk-Managed Taxable Bond Fund,0001534881,bond_or_other,1.000000,11,373128529.97,majority
S000077552,FundX ETF,0001602508,excluded,1.000000,11,173490363.98,majority
S000074058,Valkyrie Bitcoin and Ether Strategy ETF,0001877493,excluded,1.000000,11,40692351.05,majority
S000051603,Aspiriant Defensive Allocation Fund,0001534881,bond_or_other,1.000000,11,989520766.82,majority
S000025338,AZL Balanced Index Strategy Fund,0001301708,passive,1.000000,10,648738498.81,majority
S000082812,FundX Flexible ETF,0001602508,excluded,1.000000,10,32324512.90,majority
S000095346,ARK DIET Q4 Buffer ETF,0001579982,excluded,1.000000,9,6865378.61,majority
S000066847,Strategy Shares Newfound/Resolve Robust Momentum ETF,0001506213,excluded,1.000000,9,55658320.92,majority
S000089262,Day Hagan Smart Buffer ETF,0001506213,excluded,1.000000,8,81874786.00,majority
S000079362,Mohr Sector Nav ETF,0001719812,excluded,1.000000,7,23784640.91,majority
S000075093,Rareview Systematic Equity ETF,0001719812,excluded,1.000000,6,96832389.82,majority
S000095343,ARK DIET Q1 Buffer ETF,0001579982,excluded,1.000000,5,1467721.55,majority
S000074070,IDX Risk-Managed Digital Assets Strategy Fund,0001643838,passive,1.000000,4,21433059.87,majority
S000084822,Stratified LargeCap Hedged ETF,0001547950,excluded,1.000000,4,23511733.39,majority
S000090077,Rareview 2x Bull Cryptocurrency & Precious Metals ETF,0001719812,excluded,1.000000,4,-280829.84,majority
S000081280,Valkyrie Bitcoin Futures Leveraged Strategy ETF,0001877493,excluded,1.000000,2,2969399.97,majority
S000084371,DailyDelta Q100 Upside Option Strategy ETF,0001873280,excluded,1.000000,1,9912.99,majority
S000084370,DailyDelta Q100 Downside Option Strategy ETF,0001873280,excluded,1.000000,1,27365.44,majority
