top_parent_entity_id,top_parent_canonical_name,thirteen_f_aum_billions,fund_tier_aum_billions,combined_aum_billions,n_funds_under,n_inst_subsidiaries,coverage_class
686,ARROWSTREET CAPITAL HOLDING LLC,170.739483995,0.16826896513000003,170.90775296013,1,2,both
9005,"Sumitomo Mitsui Trust Group, Inc.",170.274749858,0.0,170.274749858,0,1,13F_only
6727,Swiss National Bank,168.006575072,0.0,168.006575072,0,1,13F_only
10910,JONES FINANCIAL COMPANIES LLLP,164.022663265,0.0,164.022663265,0,1,13F_only
51,Janus Henderson,0.0,163.63782860533007,163.63782860533007,55,1,fund_only
1013,"Clearbridge Investments, LLC",124.902213917,35.60213303897002,160.50434695597002,14,1,both
682,NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO,158.118171945,0.0,158.118171945,0,1,13F_only
9523,ORIX Corp Europe N.V.,96.582749037,55.35826249187001,151.94101152887,22,2,both
4102,CANADA PENSION PLAN INVESTMENT BOARD,149.516294752,0.0,149.516294752,0,1,13F_only
4105,"Mitsubishi UFJ Asset Management Co., Ltd.",147.504538704,0.0,147.504538704,0,1,13F_only
7996,BAILLIE GIFFORD & CO,120.341270939,25.107129896499995,145.4484008355,19,2,both
9935,Wellington Management Co LLP,0.0,144.49055678873006,144.49055678873006,79,3,fund_only
1589,"PGIM, Inc.",0.0,143.66407896208992,143.66407896208992,83,2,fund_only
8386,"Natixis Investment Managers, LLC",94.669868516,47.16223185234,141.83210036833998,60,6,both
6993,Creative Planning,139.705144107,0.0,139.705144107,0,1,13F_only
6690,HARRIS ASSOCIATES L P,79.121382151,58.49209879214995,137.61348094314997,28,2,both
901,"First Eagle Investment Management, LLC",56.821944043,80.05290275420005,136.87484679720006,15,1,both
10056,National Pension Service,135.066881342,0.0,135.066881342,0,1,13F_only
2483,Neuberger Berman Group,134.336752013,0.0,134.336752013,0,1,13F_only
5956,FIL Ltd,133.598822485,0.0,133.598822485,0,1,13F_only
4931,SCHRODER INVESTMENT MANAGEMENT GROUP,131.912019381,0.0,131.912019381,0,1,13F_only
6698,1832 Asset Management L.P.,131.305708384,0.0,131.305708384,0,1,13F_only
17956,"Pzena Investment Management, LLC",33.403411445,95.57643571859997,128.97984716359997,8,2,both
6034,STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,127.32507755,0.0,127.32507755,0,1,13F_only
3775,TD Asset Management Inc,124.298903924,0.0,124.298903924,0,1,13F_only
6480,RHUMBLINE ADVISERS,123.694935292,0.0,123.694935292,1,1,13F_only
6053,"Allspring Global Investments Holdings, LLC",61.731582431,60.657891774770086,122.38947420577009,73,2,both
5022,ProShare Advisors LLC,59.952258056,58.08102900536004,118.03328706136003,263,3,both
