pair_no,brand_eid,brand_label,brand_canonical_name,brand_entity_type,filer_eid,filer_canonical_name,fund_rows,fund_aum_usd,open_ech,open_erh,open_aliases,open_relationships,existing_bridge_check,hv2_check,pairing_source,confidence,conflict_flag,op_i_relationship_type,op_i_control_type,op_i_source
1,7586,BlackRock Fund Advisors,BlackRock Fund Advisors,institution,3241,"BlackRock, Inc.",70554,1303293291270.13,1,2,2,16,NONE,PRESENT,investigation_§7.3,HIGH,,wholly_owned,control,CP-4b-blackrock-author:inst-eid-bridge-blackrock-5-way|pair=1|pairing_source=investigation_§7.3|confidence=HIGH
2,3586,BLACKROCK ADVISORS LLC,BLACKROCK ADVISORS LLC,institution,3241,"BlackRock, Inc.",213206,645067260899.92,1,2,2,19,NONE,PRESENT,investigation_§7.3,HIGH,,wholly_owned,control,CP-4b-blackrock-author:inst-eid-bridge-blackrock-5-way|pair=2|pairing_source=investigation_§7.3|confidence=HIGH
3,17970,BlackRock Investment Management LLC,"BlackRock Investment Management, LLC",institution,3241,"BlackRock, Inc.",95262,426484088780.00,1,2,1,102,NONE,PRESENT,investigation_§7.3,HIGH,,wholly_owned,control,CP-4b-blackrock-author:inst-eid-bridge-blackrock-5-way|pair=3|pairing_source=investigation_§7.3|confidence=HIGH
4,8453,BLACKROCK FINANCIAL MANAGEMENT INC/DE,BLACKROCK FINANCIAL MANAGEMENT INC/DE,institution,3241,"BlackRock, Inc.",5499,149536077450.29,1,2,2,1,NONE,PRESENT,investigation_§7.3,HIGH,,wholly_owned,control,CP-4b-blackrock-author:inst-eid-bridge-blackrock-5-way|pair=4|pairing_source=investigation_§7.3|confidence=HIGH
5,18030,BlackRock International Limited,BlackRock International Limited,institution,3241,"BlackRock, Inc.",10063,16321520168.66,1,2,1,35,NONE,PRESENT,investigation_§7.3,HIGH,,wholly_owned,control,CP-4b-blackrock-author:inst-eid-bridge-blackrock-5-way|pair=5|pairing_source=investigation_§7.3|confidence=HIGH
