cusip_bucket,asset_category,issuer_name,n_rows,aum_b,sample_isin
NA_lit,EC,"Samsung Electronics Co., Ltd.",71,7.81719959019,KR7005930003
NA_lit,EP,SPACE EXPLORATION TECHNOLOGIES CORP,28,7.795505524399999,
NA_lit,EC,TotalEnergies SE,153,7.689958606580002,FR0000120271
NA_lit,EC,Unilever PLC,64,7.664576339530003,GB00B10RZP78
zeros_or_nines,EC,Siemens AG,261,7.648912897680001,DE0007236101
NA_lit,EC,SK hynix Inc,40,7.639431028930002,KR7000660001
NA_lit,EC,Novartis AG,178,7.578279810730001,CH0012005267
NA_lit,EC,LVMH MOET HENNESSY LOUIS VUITTON SE,108,7.56278327541,FR0000121014
NA_lit,EC,Banco Santander SA,90,7.5208038021100005,ES0113900J37
NA_lit,EC,LINDE PLC,71,7.498346524570001,IE000S9YS762
NA_lit,EC,BANCO SANTANDER SA,61,7.4926128603399995,ES0113900J37
NA_lit,EC,Schneider Electric SE,120,7.474026533130001,FR0000121972
NA_lit,EC,Sony Group Corp,52,7.34698248302,JP3435000009
zeros_or_nines,EC,Sanofi SA,271,7.30153895117,FR0000120578
NA_lit,EC,Cie Financiere Richemont SA,87,7.248982425160001,CH0210483332
NA_lit,EC,Samsung Electronics Co. Ltd.,91,7.1700302157400015,KR7005930003
zeros_or_nines,EC,LVMH Moet Hennessy Louis Vuitton SE,200,7.14101659294,FR0000121014
zeros_or_nines,EC,Iberdrola SA,240,6.996444953460001,ES0144580Y14
NA_lit,EC,Allianz SE,161,6.925714601570001,DE0008404005
NA_lit,EC,Roche Holding AG,266,6.907678671210001,CH0012032048
