source_path,target_path,source_bytes,tarball_bytes,ratio,md5,status
data/backups/13f_backup_20260503_082307,BackupToDrive/full-db-exports/13f_backup_20260503_082307.tar.gz,3434685882,2857748350,0.8320,50d5e275431c221d47ee8fb3b9150a6b,archived
data/backups/13f_backup_20260503_110616,BackupToDrive/full-db-exports/13f_backup_20260503_110616.tar.gz,3435103592,2857457214,0.8318,54992f55f547dd8a423f8c9d8279a386,archived
data/backups/13f_backup_20260503_121103,BackupToDrive/full-db-exports/13f_backup_20260503_121103.tar.gz,3435103592,2857459579,0.8318,86aba9fd4632658bafd4990cd75314ac,archived
data/backups/13f_backup_20260505_063809,BackupToDrive/full-db-exports/13f_backup_20260505_063809.tar.gz,3434718932,2857821359,0.8320,d890fc5d6f96a7d80d9f345c07ec8e04,archived
data/backups/13f_backup_20260505_071643,BackupToDrive/full-db-exports/13f_backup_20260505_071643.tar.gz,3434576948,2857884878,0.8321,f61714099827c82e89825b81689c6dcf,archived
data/backups/peer_rotation_peer_rotation_empty_20260505_111826.duckdb,BackupToDrive/pipeline-snapshots/peer_rotation_peer_rotation_empty_20260505_111826.duckdb.tar.gz,281817088,176431742,0.6261,eddfcb04f5d7b90ddce1a59d792eb5e5,archived
data/backups/peer_rotation_peer_rotation_empty_20260505_210801.duckdb,BackupToDrive/pipeline-snapshots/peer_rotation_peer_rotation_empty_20260505_210801.duckdb.tar.gz,283389952,176784459,0.6238,468ec14a0a0d32976e68710b53d59a6c,archived
