outer_top_parent,outer_family,family_match,n_rows,aum_b
12.0,American Funds Target Date Retirement Series,extra_family,146,199.96310061331
12.0,American Funds U.S. Small & Mid Cap Equity Fund,extra_family,23,0.022495278940000002
12.0,American Mutual Fund,extra_family,39,26.85889351037
12.0,Capital Group Conservative Equity ETF,extra_family,23,0.31890482244
12.0,Capital Group Core Balanced ETF,extra_family,18,0.76387318514
12.0,Capital Group Core Balanced ETF,intra_family,2,1.5568375603200002
12.0,Capital Group Core Equity ETF,extra_family,21,2.2158625961499996
12.0,Capital Group Dividend Growers ETF,extra_family,13,0.69196712876
12.0,Capital Group Dividend Value ETF,extra_family,18,6.8357215485
12.0,Capital Group Equity ETF Trust I,unknown_match,40,0.22579028981
12.0,Capital Group Fixed Income ETF Trust,extra_family,7,0.85083601471
12.0,Capital Group Global Equity ETF,unknown_match,16,0.32250328286
12.0,Capital Group Global Growth Equity ETF,unknown_match,14,1.4645186205999998
12.0,Capital Group Growth ETF,unknown_match,21,6.064025925950001
12.0,Capital Group International Core Equity ETF,extra_family,12,0.08176640662
12.0,Capital Group International Equity ETF,unknown_match,4,0.09903179209
12.0,Capital Group International Focus Equity ETF,extra_family,6,0.5872940246
12.0,Capital Group New Geography Equity ETF,extra_family,19,0.20436639352000002
12.0,Capital Group U.S. Equity Fund,unknown_match,19,0.10252907160000001
12.0,Capital Income Builder,extra_family,32,14.42943090899
12.0,Capital World Growth & Income Fund,extra_family,47,20.667733628589996
12.0,EUPAC Fund,extra_family,13,3.24135130075
12.0,Growth Fund of America,unknown_match,50,89.11157358078
12.0,Income Fund of America,unknown_match,36,12.5172019297
12.0,International Growth & Income Fund,unknown_match,10,0.13821048604999997
12.0,Investment Co of America,unknown_match,51,42.14098609485
12.0,New Economy Fund,extra_family,33,6.84846285331
12.0,New Perspective Fund,extra_family,34,26.636824580219997
12.0,New World Fund Inc,extra_family,27,4.769491351389999
12.0,SMALLCAP World Fund Inc,extra_family,35,4.060560355620001
12.0,Washington Mutual Investors Fund,extra_family,42,46.440344602340005
12.0,Washington Mutual Investors Fund,unknown_match,1,1.1339410905
13.0,"T. ROWE PRICE HIGH YIELD FUND, INC.",extra_family,1,0.0
13.0,"T. ROWE PRICE INSTITUTIONAL INCOME FUNDS, INC.",extra_family,1,0.0
13.0,"T. ROWE PRICE MULTI-STRATEGY TOTAL RETURN FUND, INC.",extra_family,14,0.004636906950000001
13.0,"T. Rowe Price Exchange-Traded Funds, Inc.",extra_family,421,3.41159014326
13.0,"T. Rowe Price Exchange-Traded Funds, Inc.",unknown_match,3,0.0029991533
15.0,Dodge & Cox Funds,extra_family,51,37.59654880731
15.0,Dodge & Cox Funds,intra_family,1,0.21531904419
16.0,Putnam ETF Trust,extra_family,70,2.4238296131199992
16.0,Putnam Focused International Equity Fund,extra_family,1,0.03967800144
16.0,Putnam Funds Trust,extra_family,35,1.92016647746
16.0,Putnam High Yield Fund,extra_family,1,0.00121973275
16.0,Putnam Variable Trust,extra_family,41,0.9638084652000002
17.0,MASSACHUSETTS INVESTORS TRUST,extra_family,13,1.6315794590900004
17.0,MFS Massachusetts Investors Growth Stock Fund,extra_family,7,1.4345123848299999
17.0,MFS SERIES TRUST I,extra_family,105,19.91548528954
17.0,MFS SERIES TRUST I,intra_family,7,0.47933948484
17.0,MFS SERIES TRUST IV,extra_family,24,0.22759043034
17.0,MFS SERIES TRUST IV,intra_family,3,0.026564220609999998
17.0,MFS SERIES TRUST IX,intra_family,1,0.03899819765
17.0,MFS SERIES TRUST VII,extra_family,24,0.18323086081
17.0,MFS SERIES TRUST VII,intra_family,1,0.0015882425
17.0,MFS SERIES TRUST X,extra_family,69,5.4161505299099995
17.0,MFS SERIES TRUST X,intra_family,100,65.42385145819999
17.0,MFS SERIES TRUST XI,extra_family,37,1.9831412823199996
17.0,MFS SERIES TRUST XI,intra_family,2,0.10859936593
17.0,MFS SERIES TRUST XII,intra_family,269,5.03495351396
17.0,MFS SERIES TRUST XIII,extra_family,22,0.54905323161
17.0,MFS SERIES TRUST XIII,intra_family,2,0.050898187510000005
17.0,MFS SERIES TRUST XV,intra_family,1,0.04054495753
17.0,MFS Series Trust II,extra_family,15,9.8250771211
17.0,MFS Series Trust IV,extra_family,8,0.9904993085999999
17.0,MFS Series Trust V,extra_family,33,2.54252161324
17.0,MFS Series Trust VI,extra_family,27,0.7273625668000001
17.0,MFS Series Trust VII,extra_family,11,0.00058399364
17.0,MFS Series Trust VIII,extra_family,7,0.12080992523
17.0,MFS Series Trust X,extra_family,17,0.35478583103
17.0,MFS Series Trust XIII,extra_family,11,0.061995898599999995
17.0,MFS Series Trust XV,extra_family,56,0.018195022760000002
17.0,MFS VARIABLE INSURANCE TRUST,extra_family,111,1.8087793330900002
17.0,MFS VARIABLE INSURANCE TRUST,intra_family,10,0.11314972045000002
17.0,MFS VARIABLE INSURANCE TRUST II,extra_family,137,0.59785270262
17.0,MFS VARIABLE INSURANCE TRUST II,intra_family,16,0.08961504189
17.0,MFS VARIABLE INSURANCE TRUST III,extra_family,52,0.08139631748000001
17.0,MFS VARIABLE INSURANCE TRUST III,intra_family,60,1.4359198300099998
18.0,American Century California Tax Free & Municipal Funds,intra_family,2,0.01851381069
18.0,American Century Government Income Trust,extra_family,2,0.068465514
18.0,American Century Investment Trust,extra_family,5,0.04671114454
18.0,American Century Municipal Trust,extra_family,2,0.018660088
20.0,"Comstock Funds, Inc.",extra_family,9,0.0007966758300000001
20.0,"GAMCO Global Series Funds, Inc",extra_family,47,0.07224952362999999
20.0,"Gabelli 787 Fund, Inc.",extra_family,22,0.0038706719200000002
20.0,Gabelli Asset Fund,extra_family,80,0.306888586
20.0,Gabelli Asset Fund,intra_family,7,0.00470298552
20.0,Gabelli Asset Fund,unknown_match,1,0.00038424
20.0,Gabelli Dividend Growth Fund,extra_family,9,0.003440647
20.0,Gabelli ETFs Trust,extra_family,70,0.029131818530000006
20.0,Gabelli Equity Series Funds Inc,extra_family,90,0.29195465976999996
20.0,"Gabelli Gold Fund, Inc.",extra_family,3,0.07474409468
20.0,Gabelli Growth Fund,extra_family,12,0.410322376
20.0,Gabelli Innovations Trust,extra_family,8,0.00198691075
20.0,"Gabelli International Growth Fund, Inc",extra_family,1,0.00026289224
20.0,Gabelli Investor Funds Inc,extra_family,28,0.016070487739999997
20.0,"Gabelli SRI Fund, Inc.",extra_family,26,0.00475087327
20.0,Gabelli Utilities Fund,extra_family,25,0.29246613851
20.0,Gabelli Value 25 Fund Inc,extra_family,13,0.049824508
20.0,"Keeley Funds, Inc.",extra_family,24,0.05097793606999999
20.0,Teton Westwood Funds,extra_family,12,0.01311944351
21.0,J.P. Morgan Exchange-Traded Fund Trust,extra_family,1018,25.848822631259996
21.0,J.P. Morgan Exchange-Traded Fund Trust,intra_family,10,0.17944984222
21.0,J.P. Morgan Exchange-Traded Fund Trust,unknown_match,15,0.8095248411
21.0,Quantitative Master Series LLC,extra_family,193,0.49849694820000007
22.0,Columbia Funds Variable Series Trust II,extra_family,13,0.6665384682399998
22.0,"EMPOWER FUNDS, INC.",extra_family,102,0.18629427634000004
