top_parent_entity_id,top_parent_canonical_name,thirteen_f_aum_billions,fund_tier_aum_billions,combined_aum_billions,n_funds_under,n_inst_subsidiaries,coverage_class
6938,JENNISON ASSOCIATES LLC,166.565914829,31.54702391279,198.11293874179,4,1,both
9246,AQR CAPITAL MANAGEMENT LLC,190.628430568,4.104692769159999,194.73312333716,7,1,both
6690,HARRIS ASSOCIATES L P,79.121382151,112.37094319995991,191.4923253509599,39,2,both
5342,"PNC Financial Services Group, Inc.",183.109843854,0.0,183.109843854,0,1,13F_only
8145,"D. E. Shaw & Co., Inc.",182.424024893,0.0,182.424024893,0,1,13F_only
1926,Simplex Trading,177.415580964,0.0,177.415580964,0,1,13F_only
8386,"Natixis Investment Managers, LLC",94.669868516,82.65844540694005,177.32831392294003,106,6,both
6053,"Allspring Global Investments Holdings, LLC",61.731582431,114.23358901506003,175.96517144606003,138,2,both
5022,ProShare Advisors LLC,59.952258056,115.50734367145004,175.45960172745004,525,3,both
1955,California Public Employees Retirement System,174.896518839,0.0,174.896518839,0,1,13F_only
686,ARROWSTREET CAPITAL HOLDING LLC,170.739483995,0.16826896513000003,170.90775296013,1,2,both
9005,"Sumitomo Mitsui Trust Group, Inc.",170.274749858,0.0,170.274749858,0,1,13F_only
7996,BAILLIE GIFFORD & CO,120.341270939,48.86702502287996,169.20829596187997,37,2,both
6727,Swiss National Bank,168.006575072,0.0,168.006575072,0,1,13F_only
10910,JONES FINANCIAL COMPANIES LLLP,164.022663265,0.0,164.022663265,0,1,13F_only
1013,"Clearbridge Investments, LLC",124.902213917,35.60213303897001,160.50434695597,14,1,both
682,NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO,158.118171945,0.0,158.118171945,0,1,13F_only
9523,ORIX Corp Europe N.V.,96.582749037,58.33553977962,154.91828881662,33,2,both
4102,CANADA PENSION PLAN INVESTMENT BOARD,149.516294752,0.0,149.516294752,0,1,13F_only
26,BNY Mellon / Dreyfus,0.0,148.1396471085101,148.1396471085101,180,4,fund_only
4105,"Mitsubishi UFJ Asset Management Co., Ltd.",147.504538704,0.0,147.504538704,0,1,13F_only
9935,Wellington Management Co LLP,0.0,144.49055678872995,144.49055678872995,79,3,fund_only
6993,Creative Planning,139.705144107,0.0,139.705144107,0,1,13F_only
8005,Global X Management CO LLC,0.0,137.82230130318015,137.82230130318015,206,1,fund_only
10056,National Pension Service,135.066881342,0.0,135.066881342,0,1,13F_only
2483,Neuberger Berman Group,134.336752013,0.0,134.336752013,0,1,13F_only
5956,FIL Ltd,133.598822485,0.0,133.598822485,0,1,13F_only
4749,SEI INVESTMENTS CO,101.355225292,31.611555718578117,132.96678101057813,34,2,both
