relationship_id,parent_entity_id,parent_name,parent_aum,parent_cik,child_entity_id,child_name,child_aum,child_cik,relationship_type,category
12547,4586,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",0.0,0000035528,7026,Fifth Third Wealth Advisors LLC,0.0,0001899030,wholly_owned,D
12548,932,"Marest Capital, LLC",0.0,0002010315,5664,"Cushing Capital Partners, LLC",0.0,0002054827,wholly_owned,D
12553,2867,AMERITAS LIFE INSURANCE CORP,0.0,0000936922,9976,"Ameritas Advisory Services, LLC",0.0,0001901275,wholly_owned,D
12554,9722,"Financial Partners Group, LLC",0.0,0001965246,9218,"MOSAIC FAMILY WEALTH PARTNERS, LLC",0.0,0001965241,wholly_owned,D
12555,1600,"Financial Partners Group, Inc",0.0,0001731169,9218,"MOSAIC FAMILY WEALTH PARTNERS, LLC",0.0,0001965241,wholly_owned,D
12556,9722,"Financial Partners Group, LLC",0.0,0001965246,9864,Cassaday & Co Wealth Management LLC,0.0,0001963612,wholly_owned,D
12557,1600,"Financial Partners Group, Inc",0.0,0001731169,9864,Cassaday & Co Wealth Management LLC,0.0,0001963612,wholly_owned,D
12559,479,"BURLING WEALTH PARTNERS, LLC",0.0,0002054946,324,"Joule Financial, LLC",0.0,0001929070,wholly_owned,D
12560,3383,Israel Discount Bank of New York,0.0,0001706511,2314,"IDB Lido Wealth, LLC",0.0,0002023262,wholly_owned,D
12566,8327,"OSAIC HOLDINGS, INC.",0.0,0001677044,9923,STEPHENS INC /AR/,0.0,0000757657,wholly_owned,D
12567,10191,"Shaker Financial Services, LLC",0.0,0001511794,9923,STEPHENS INC /AR/,0.0,0000757657,wholly_owned,D
12568,5817,"Baird Financial Group, Inc.",0.0,0001648711,1588,Robert W. Baird & Co. Inc,0.0,0000810972,wholly_owned,D
13130,7510,DEUTSCHE BANK AG\,0.0,0000948046,5162,DWS International GmbH,0.0,0001767611,wholly_owned,D
13155,4204,SMA Capital LLC,0.0,0002075338,3626,DIMENSION CAPITAL MANAGEMENT LLC,0.0,0001041773,wholly_owned,D
13159,9840,GEODE CAPITAL HOLDINGS LLC,0.0,0001269241,3626,DIMENSION CAPITAL MANAGEMENT LLC,0.0,0001041773,parent_brand,D
13184,5469,Blackstone Inc.,0.0,0001393818,1654,BLACKSTONE MANAGEMENT PARTNERS L.L.C.,0.0,0001666792,wholly_owned,D
13192,1359,GUGGENHEIM CAPITAL LLC,0.0,0001283072,195,"Guggenheim Partners Investment Management, LLC",0.0,0001425852,wholly_owned,D
13194,7091,"FIG Parent, LLC",0.0,0002024041,195,"Guggenheim Partners Investment Management, LLC",0.0,0001425852,wholly_owned,D
13212,10324,Banco BTG Pactual S.A.,0.0,0001536080,242,BTG Pactual Asset Management US LLC,0.0,0001569579,wholly_owned,D
13217,5237,"Fore Capital, LLC",0.0,0001714672,9912,"Divco West Real Estate Services, LLC",0.0,0001561877,wholly_owned,D
13331,4072,"GREAT LAKES ADVISORS, LLC",0.0,0001078013,4283,"GREAT HILL PARTNERS, L.P.",0.0,0001231756,mutual_structure,D
13352,1354,HSBC HOLDINGS PLC,0.0,0000873630,6318,HSBC SECURITIES USA INC,0.0,0001092524,wholly_owned,D
13355,5469,Blackstone Inc.,0.0,0001393818,6335,BLACKSTONE INFRASTRUCTURE ADVISORS L.L.C.,0.0,0001845724,wholly_owned,D
13356,7146,"Russell Investments Group, Ltd.",0.0,0001692234,4348,"Russell Investments Capital, LLC",0.0,0001843723,wholly_owned,D
13358,10178,AMERIPRISE FINANCIAL INC,0.0,0000820027,8560,"Ameriprise Financial Services, LLC",0.0,0001543099,wholly_owned,D
13359,4723,RAYMOND JAMES FINANCIAL INC,0.0,0000720005,1641,RAYMOND JAMES & ASSOCIATES,0.0,0001084208,wholly_owned,D
13361,10191,"Shaker Financial Services, LLC",0.0,0001511794,2320,WEDBUSH SECURITIES INC,0.0,0001142495,wholly_owned,D
13363,1358,Allianz SE,0.0,0001127508,2322,PACIFIC INVESTMENT MANAGEMENT CO LLC,0.0,0001163368,wholly_owned,D
13364,10914,PRUDENTIAL FINANCIAL INC,0.0,0001137774,1589,"PGIM, Inc.",0.0,0000946754,wholly_owned,D
13404,1105,Rithm Capital Corp.,0.0,0001556593,9305,Sculptor Capital LP,0.0,0001054587,wholly_owned,D
13430,10317,"GCM Grosvenor Holdings, LLC",0.0,0001939480,4402,GCM Grosvenor L.P.,0.0,0001403169,wholly_owned,D
13431,6842,"GCM, L.L.C.",0.0,0001744289,4402,GCM Grosvenor L.P.,0.0,0001403169,mutual_structure,D
13446,8145,"D. E. Shaw & Co., Inc.",0.0,0001009207,4326,"D. E. SHAW & CO, L.P.",0.0,0001009268,mutual_structure,D
13453,7510,DEUTSCHE BANK AG\,0.0,0000948046,4324,RREEF America LLC,0.0,0000938772,wholly_owned,D
13455,10929,Carlyle Group Inc.,0.0,0001527166,8595,Carlyle Investment Management LLC,0.0,0001354120,wholly_owned,D
13501,8968,"AFFILIATED MANAGERS GROUP, INC.",0.0,0001004434,9246,AQR CAPITAL MANAGEMENT LLC,0.0,0001167557,wholly_owned,D
