filer_cik,filer_name,inst_parent_name,series_count,total_nav,series_names_sample,entity_name,manager_type,is_passive,rollup_target,existing_entity_id
0001899610,Carlyle AlpInvest Private Markets Fund,,2,"$7,243,336,627",Carlyle AlpInvest Private Markets Fund | Carlyle AlpInvest Private Markets Fund,Carlyle AlpInvest Private Markets Fund,,,SELF,
0001260729,Gabelli Dividend & Income Trust,,2,"$6,476,436,593",Gabelli Dividend & Income Trust | Gabelli Dividend & Income Trust,Gabelli Dividend & Income Trust,,,SELF,
0001500234,Ironwood Multi-Strategy Fund LLC,,2,"$6,368,442,887",Ironwood Multi-Strategy Fund LLC | Ironwood Multi-Strategy Fund LLC,Ironwood Multi-Strategy Fund LLC,,,SELF,
0000915845,AB HIGH INCOME FUND INC,,1,"$6,245,251,555",AB HIGH INCOME FUND INC,AB HIGH INCOME FUND INC,,,SELF,
0000918706,Global Macro Portfolio,,1,"$6,137,825,235",Global Macro Portfolio,Global Macro Portfolio,,,SELF,
0001753712,Lord Abbett Credit Opportunities Fund,,2,"$6,132,841,771",Lord Abbett Credit Opportunities Fund | Lord Abbett Credit Opportunities Fund,Lord Abbett Credit Opportunities Fund,,,SELF,
0001379438,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,,2,"$6,119,845,466",Eaton Vance Tax-Managed Global Diversified Equity Income Fund | Eaton Vance Tax-Managed Global Diversified Equity Income Fund,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,,,SELF,
0001034106,Federated Hermes Core Trust,,1,"$5,558,675,471",Mortgage Core Fund,Federated Hermes Core Trust,,,SELF,
0001491978,FlexShares Trust,,1,"$5,040,930,528",FlexShares iBoxx 3-Year Target Duration TIPS Index Fund,FlexShares Trust,,,SELF,
0001559109,ETFis Series Trust I,,1,"$5,036,993,133",Virtus InfraCap U.S. Preferred Stock ETF,ETFis Series Trust I,,,SELF,
0001078195,COMMUNITY CAPITAL TRUST,,1,"$3,839,409,901",CCM Community Impact Bond Fund,COMMUNITY CAPITAL TRUST,,,SELF,
0001551047,Bluerock Private Real Estate Fund,,1,"$3,812,364,632",Bluerock Private Real Estate Fund,Bluerock Private Real Estate Fund,,,SELF,
0001766436,Leader Funds Trust,,1,"$3,751,193,731",Leader Capital High Quality Income Fund,Leader Funds Trust,,,SELF,
0001652200,"Cohen & Steers Low Duration Preferred & Income Fund, Inc.",,1,"$3,671,495,442","Cohen & Steers Low Duration Preferred and Income Fund, Inc.","Cohen & Steers Low Duration Preferred & Income Fund, Inc.",,,SELF,
0001597634,APOLLO DIVERSIFIED REAL ESTATE FUND,,1,"$3,561,166,139",Apollo Diversified Real Estate Fund,APOLLO DIVERSIFIED REAL ESTATE FUND,,,SELF,
0000921370,High Income Opportunities Portfolio,,1,"$3,471,339,786",HIGH INCOME OPPORTUNITIES PORTFOLIO,High Income Opportunities Portfolio,,,SELF,
0001597934,abrdn ETFs,,1,"$3,406,140,052",abrdn Bloomberg All Commodity Strategy K-1 Free ETF,abrdn ETFs,,,SELF,
0001301708,Allianz Variable Insurance Products Fund of Funds Trust,,1,"$3,277,699,369",AZL MVP Growth Index Strategy Fund,Allianz Variable Insurance Products Fund of Funds Trust,,,SELF,
0001981627,GMO ETF Trust,,1,"$3,028,249,852",GMO U.S. Quality ETF,GMO ETF Trust,,,SELF,
0001394395,Emerging Markets Local Income Portfolio,,1,"$3,002,834,053",Emerging Markets Local Income Portfolio,Emerging Markets Local Income Portfolio,,,SELF,
0001253327,Eaton Vance Tax-Advantaged Dividend Income Fund,,1,"$2,978,277,858",Eaton Vance Tax-Advantaged Dividend Income Fund,Eaton Vance Tax-Advantaged Dividend Income Fund,,,SELF,
