crd,firm_name,aum_billions,stratum,parsed_total,parsed_entities,entity_names,in_matched,audit_status,audit_entities_correct,audit_entities_missed,audit_codes_correct,audit_notes,audit_pymupdf_entities,audit_plumber_entities,audit_common,audit_code_match,audit_pymupdf_only,audit_plumber_only,audit_size_mb
161987,BLACKROCK ASSET MANAGEMENT SCHWEIZ AG,1.62,oversized,34,25,"BLACKROCK FINANCE, INC.(E); BLACKROCK HOLDCO 2, INC(E); BLACKROCK FINANCIAL MANAGEMENT, INC(E); BR JERSEY INTERNATIONAL HOLDINGS L.P.(E); BLACKROCK GROUP LIMITED(E)",True,PYMUPDF_ONLY,,,,,13,0,0,0,"BLACKROCK FINANCIAL MANAGEMENT, INC; BLACKROCK HOLDCO 2, INC; BLACKROCK FINANCE, INC.",,13.2
6210,WILSHIRE,99.1,oversized,45,19,"MONICA HOLDCO (US) INC.(E); MONICA GUARANTOR, LP(E); MONICA INTERMEDIATE, LP(E); MONICA HOLDINGS (JERSEY), LP(E); MONICA HOLDINGS (JERSEY), LP(E)",True,PYMUPDF_ONLY,,,,,15,0,0,0,"MONICA HOLDCO (US) INC.; CC MONICA HOLDINGS, LLC; CC-SGG MONICA AGGREGATOR, LLC",,23.2
158508,"BATTERY GLOBAL ADVISORS, LLC",6.9,oversized,11,0,,False,PYMUPDF_ONLY,,,,,0,0,0,0,,,15.3
160272,FRANCISCO PARTNERS,45.08,oversized,16,3,"FRANCISCO PARTNERS MANAGEMENT GP, LLC(NA); FRANCISCO PARTNERS HOLDINGS, L.P.(E); FRANCISCO PARTNERS FEEDER, L.P.(E)",True,PYMUPDF_ONLY,,,,,3,0,0,0,"FRANCISCO PARTNERS HOLDINGS, L.P.; FRANCISCO PARTNERS MANAGEMENT GP, LLC; FRANCISCO PARTNERS FEEDER, L.P.",,10.1
160318,"TIGER GLOBAL MANAGEMENT, LLC",69.56,oversized,27,7,"TIGER GLOBAL MANAGEMENT, LLC(E); TIGER GLOBAL MANAGEMENT, LLC(E); TIGER GLOBAL MANAGEMENT, LLC(E); TIGER GLOBAL MANAGEMENT, LLC(E); TIGER GLOBAL MANAGEMENT, LLC(E)",True,PYMUPDF_ONLY,,,,,1,0,0,0,"TIGER GLOBAL MANAGEMENT, LLC",,11.1
108679,"D. E. SHAW & CO., L.P.",154.59,oversized,48,18,"D. E. SHAW & CO., INC.(NA); PLAINTEXT HOLDINGS, LLC(B); BIG HEN GROUP I, LLC(E); D. E. SHAW & CO., L.P.(E); D. E. SHAW & CO., L.P.(E)",True,PYMUPDF_ONLY,,,,,6,0,0,0,"D. E. SHAW & CO., L.P.; THE SCHMIDT FAMILY LIVING TRUST; D. E. SHAW & CO. (U.K.),",,12.4
157349,MADISON DEARBORN PARTNERS,16.08,oversized,19,0,,False,PYMUPDF_ONLY,,,,,0,0,0,0,,,13.4
107876,HAMILTON LANE,138.3,oversized,16,5,"HAMILTON LANE ADVISORS INC(NA); HLA INVESTMENTS, LLC(B); HL MANAGEMENT INVESTORS LLC(A); HAMILTON LANE INC(E); HRHLA, LLC(E)",False,PYMUPDF_ONLY,,,,,5,0,0,0,"HLA INVESTMENTS, LLC; HL MANAGEMENT INVESTORS LLC; HAMILTON LANE INC",,104.3
122711,"CRESTLINE MANAGEMENT, L.P.",20.49,oversized,25,19,RITHM ASSET MANAGEMENT LLC(E); NRZ MBN ISSUER HOLDINGS LLC(E); RITHM CAPITAL MANAGEMENT LLC(E); RITHM CAPITAL CORP.(E); CRESTLINE CANADA GP LLC(NA),True,PYMUPDF_ONLY,,,,,8,0,0,0,RITHM CRESTLINE HOLDINGS LLC; RITHM ASSET MANAGEMENT LLC; CRESTLINE CANADA GP LLC,,14.8
148826,CITADEL ADVISORS LLC,445.96,oversized,54,14,CITADEL ADVISORS HOLDINGS LP(E); CITADEL LIMITED PARTNERSHIP(E); GFH HFEVA LLC(D); CITADEL HEDGE FUND HOLDINGS LP(E); CITADEL HEDGE FUND HOLDINGS LP(E),False,PYMUPDF_ONLY,,,,,5,0,0,0,CITADEL ADVISORS HOLDINGS LP; CITADEL AMERICAS LLC; CITADEL HEDGE FUND HOLDINGS LP,,10.9
152538,"BTG PACTUAL ASSET MANAGEMENT US , LLC",25.63,oversized,26,12,BTG PACTUAL BANCORP LLC(E); BANCO BTG PACTUAL S.A.(E); BTG PACTUAL HOLDING S.A.(E); BTG PACTUAL G7 HOLDING S.A.(C); BTG PACTUAL HOLDING FINANCEIRA LTDA.(D),True,PYMUPDF_ONLY,,,,,6,0,0,0,BTG PACTUAL G7 HOLDING S.A.; BTG PACTUAL HOLDING FINANCEIRA LTDA; BTG PACTUAL HOLDING FINANCEIRA LTDA.,,11.3
148949,"VARDE MANAGEMENT, L.P.",17.98,oversized,114,17,"VÄRDE MANAGEMENT, INC.(NA); VÄRDE HUS, L.P.(NA); VPE BL, LLC(E); VARDE MANAGEMENT, L.P.(E); VARDE MANAGEMENT, L.P.(E)",True,PYMUPDF_ONLY,,,,,4,0,0,0,"VÄRDE MANAGEMENT, INC.; VÄRDE HUS, L.P.; VPE BL, LLC",,12.7
107913,SCULPTOR CAPITAL LP,44.26,oversized,49,23,"CORPORATION(NA); CALDER HOLDCO I LP(E); MANAGEMENT, INC.(E); RITHM CAPITAL CORP.(E); SCULPTOR CAPITAL LP(E)",True,PYMUPDF_ONLY,,,,,10,0,0,0,CALDER HOLDCO I LP; HOLDING CORPORATION; SCULPTOR LOAN MANAGEMENT LLC,,26.9
37550,RUSSELL INVESTMENTS,27.22,oversized,15,8,"RUSSELL INVESTMENTS US INSTITUTIONAL HOL(E); EMERALD ACQUISITION LIMITED(E); RUSSELL INVESTMENTS GROUP, LTD.(E); TA XII-A EU AIV, L.P.(C); RUSSELL INVESTMENTS CAYMAN MIDCO, LTD(E)",True,PYMUPDF_ONLY,,,,,5,0,0,0,"INSTITUTIONAL HOLDCO, INC.; RUSSELL INVESTMENTS GROUP, LTD.; RUSSELL INVESTMENTS CAYMAN MIDCO, LTD",,10.6
156945,WARBURG PINCUS LLC,97.24,oversized,35,13,"VENTURES, LLC(E); WARBURG PINCUS ASIA LTD(E); WARBURG PINCUS LLC(E); WARBURG PINCUS LLC(E); WARBURG PINCUS LLC(E)",True,PYMUPDF_ONLY,,,,,6,0,0,0,"WARBURG PINCUS LLC; WARBURG PINCUS ASIA LTD; WPPS MANAGER GP, LLC",,50.7
130074,ARES MANAGEMENT LLC,359.15,timed_out,318,160,"ARES MANAGEMENT HOLDINGS L.P.(E); ARES OWNERS HOLDINGS, L.P.(C); ARES HOLDINGS, L.P.(E); ARES HOLDCO LLC(D); ARES MANAGEMENT CORPORATION(E)",True,PYMUPDF_ONLY,,,,,51,0,0,0,"LANDMARK PARTNERS LLC; FUND IV GP, LLC; ARES REAL ESTATE INVESTMENT HOLDINGS",,156.2
162589,ICG INVESTMENTS INC,37.74,timed_out,21,6,ICG FMC LIMITED(E); ICG INVESTMENTS INC(E); ICG FMC LIMITED(E); ICG PLC(E); ICG INVESTMENTS INC(E),True,PYMUPDF_ONLY,,,,,3,0,0,0,ICG INVESTMENTS INC; ICG PLC; ICG FMC LIMITED,,16.8
151599,"BROOKFIELD ASSET MANAGEMENT PIC US, LLC",92.29,timed_out,100,62,BROOKFIELD US HOLDINGS INC.(E); BROOKFIELD CORPORATION(E); HOLDINGS LLC(E); BROOKFIELD US INC.(E); ULC(E),True,PYMUPDF_ONLY,,,,,45,0,0,0,BROOKFIELD GLOBAL SUBINVESTMENTS LIMITED; BPGH NEW SUBCO INC.; BROOKFIELD GP (AUSTRALIA) INC.,,35.0
285211,PINEBRIDGE INVESTMENTS LLC,71.09,timed_out,19,9,"PINEBRIDGE INVESTMENTS HOLDINGS US LLC(E); HOLDINGS, LLC(E); METLIFE, INC.(E); HOLDINGS US LLC(E); METLIFE INVESTMENT MANAGEMENT(E)",True,PYMUPDF_ONLY,,,,,4,0,0,0,"METLIFE INVESTMENT MANAGEMENT HOLDINGS, LLC; METLIFE, INC.; PINEBRIDGE INVESTMENTS HOLDINGS US LLC",,18.7
6210,WILSHIRE,99.1,timed_out,45,19,"MONICA HOLDCO (US) INC.(E); MONICA GUARANTOR, LP(E); MONICA INTERMEDIATE, LP(E); MONICA HOLDINGS (JERSEY), LP(E); MONICA HOLDINGS (JERSEY), LP(E)",True,PYMUPDF_ONLY,,,,,15,0,0,0,"MONICA HOLDCO (US) INC.; CC MONICA HOLDINGS, LLC; CC-SGG MONICA AGGREGATOR, LLC",,23.2
117050,MORGAN STANLEY AIP GP LP,38.67,timed_out,7,5,"INVESTMENTS LLC(NA); MANAGEMENT INC.(E); MANAGEMENT INC.(E); MORGAN STANLEY(E); MANAGMENT, LLC(E)",True,PYMUPDF_ONLY,,,,,4,0,0,0,MANAGEMENT INC.; MORGAN STANLEY ALTERNATIVE INVESTMENTS LLC; MORGAN STANLEY,,29.9
171207,"BROOKFIELD ASSET MANAGEMENT PIC ADVISER (PRIVATE EQUITY), L.P.",72.93,timed_out,19,6,BROOKFIELD PE GP ULC(NA); BPEG MANAGER HOLDINGS LP(E); BROOKFIELD ASSET MANAGEMENT ULC(E); BROOKFIELD CORPORATION(D); BROOKFIELD ASSET MANAGEMENT LTD(C),True,PYMUPDF_ONLY,,,,,5,0,0,0,BROOKFIELD ASSET MANAGEMENT LTD; BROOKFIELD PE GP ULC; BROOKFIELD CORPORATION,,34.2
106006,BARINGS LLC,345.21,timed_out,20,3,INSURANCE COMPANY(E); MASSMUTUAL HOLDING LLC(E); HOLDING LLC(E),False,PYMUPDF_ONLY,,,,,3,0,0,0,MM ASSET MANAGEMENT HOLDING LLC; INSURANCE COMPANY; MASSMUTUAL HOLDING LLC,,20.6
155317,THE BOLLARD GROUP LLC,6.78,timed_out,23,4,TRUST DATED 4/20/2018(A); PROFESTA TRUST(C); TRUST DATED 4/20/2018(NA); MACINTOSH II LLC(C),False,PYMUPDF_ONLY,,,,,3,0,0,0,PROFESTA TRUST; MICHAEL WHEELER LIVING TRUST DATED 4/20/2018; MACINTOSH II LLC,,17.8
107913,SCULPTOR CAPITAL LP,44.26,timed_out,49,23,"CORPORATION(NA); CALDER HOLDCO I LP(E); MANAGEMENT, INC.(E); RITHM CAPITAL CORP.(E); SCULPTOR CAPITAL LP(E)",True,PYMUPDF_ONLY,,,,,10,0,0,0,CALDER HOLDCO I LP; HOLDING CORPORATION; SCULPTOR LOAN MANAGEMENT LLC,,26.9
108069,"BLACKROCK CAPITAL MANAGEMENT, INC.",134.71,timed_out,16,7,"BLACKROCK ADVISORS, LLC(E); BLACKROCK FINANCE, INC.(E); BLACKROCK HOLDCO 2, INC.(E); BLACKROCK CAPITAL HOLDINGS, INC.(E); BLACKROCK FINANCIAL MANAGEMENT, INC(E)",True,PYMUPDF_ONLY,,,,,7,0,0,0,"BLACKROCK CAPITAL HOLDINGS, INC.; BLACKROCK FINANCIAL MANAGEMENT, INC; BLACKROCK FINANCE, INC.",,15.9
143635,STEPSTONE GROUP LP,95.63,timed_out,10,3,STEPSTONE GROUP HOLDINGS LLC(NA); STEPSTONE GROUP INC.(D); STEPSTONE GROUP INC.(E),True,PYMUPDF_ONLY,,,,,2,0,0,0,STEPSTONE GROUP INC.; STEPSTONE GROUP HOLDINGS LLC,,84.3
290336,"BLACKROCK CAPITAL INVESTMENT ADVISORS, LLC",39.21,timed_out,8,6,"BLACKROCK ADVISORS, LLC(E); BLACKROCK FINANCE, INC.(E); BLACKROCK HOLDCO 2, INC.(E); BLACKROCK CAPITAL HOLDINGS, INC.(E); BLACKROCK, INC.(E)",True,PYMUPDF_ONLY,,,,,7,0,0,0,"BLACKROCK CAPITAL HOLDINGS, INC.; BLACKROCK FINANCIAL MANAGEMENT, INC; BLACKROCK FINANCE, INC.",,41.9
157920,"CLEARLAKE CAPITAL GROUP, L.P.",79.58,timed_out,132,45,"CLEARLAKE CAPITAL GROUP GP,(NA); CCG OPERATIONS, LLC(E); CCG GLOBAL, LLC(E); HOLDINGS, L.P.(E); CCG OPERATIONS, LLC(D)",True,PYMUPDF_ONLY,,,,,14,0,0,0,"CCG MEMBERCO LIMITED; CLEARLAKE CAPITAL PARENT HOLDINGS, L.P.; CLEARLAKE CAPITAL GROUP, L.P.",,26.0
124612,BROWN ADVISORY INVESTMENT SOLUTIONS GROUP LLC,8.45,timed_out,16,4,BROWN ADVISORY MANAGEMENT LLC(E); HOLDINGS LLC(C); MANAGEMENT LLC(E); HOLDINGS LLC(C),True,PYMUPDF_ONLY,,,,,3,0,0,0,BROWN ADVISORY GROUP HOLDINGS LLC; BROWN ADVISORY MANAGEMENT LLC; MANAGEMENT LLC,,73.0
