crd,firm_name,aum_billions,classification,validated_date,status
105879,DANA INVESTMENT ADVISORS INC,5.76,PARSER_GAP,2026-04-08,confirmed_independent
146615,MAINSTREET ADVISORS,5.41,ENTITY_NO_CODE,2026-04-08,confirmed_independent
109473,TODD ASSET MANAGEMENT LLC,5.09,PARSER_GAP,2026-04-08,confirmed_independent
104951,FAMILY MANAGE LLC,4.4,PARSER_GAP,2026-04-08,confirmed_independent
109116,HAMILTON CAPITAL,4.38,PARSER_GAP,2026-04-08,confirmed_independent
108526,MARTINGALE ASSET MANAGEMENT,4.31,PARSER_GAP,2026-04-08,confirmed_independent
105508,"SCHARF INVESTMENTS, LLC",4.23,ENTITY_NO_CODE,2026-04-08,confirmed_independent
110420,HERITAGE INVESTORS MANAGEMENT CORP,4.18,PARSER_GAP,2026-04-08,confirmed_independent
105203,"THE PACIFIC FINANCIAL GROUP, INC.",4.11,ENTITY_NO_CODE,2026-04-08,confirmed_independent
106233,"ALASKA PERMANENT CAPITAL MANAGEMENT, LLC",4.09,ENTITY_NO_CODE,2026-04-08,confirmed_independent
136932,"GLAZER CAPITAL, LLC.",4.08,PARSER_GAP,2026-04-08,confirmed_independent
269931,PROFICIO CAPITAL PARTNERS LLC,3.98,PARSER_GAP,2026-04-08,confirmed_independent
128221,VAN BERKOM AND ASSOCIATES INC.,3.8,PARSER_GAP,2026-04-08,confirmed_independent
149320,"BIENVILLE CAPITAL MANAGEMENT, LLC",3.75,PARSER_GAP,2026-04-08,confirmed_independent
105439,ACCREDITED INVESTORS WEALTH MANAGEMENT,3.72,PARSER_GAP,2026-04-08,confirmed_independent
107148,"FOSTER GROUP, INC.",3.54,ENTITY_NO_CODE,2026-04-08,confirmed_independent
110003,MANCHESTER CAPITAL MANAGEMENT LLC,3.54,PARSER_GAP,2026-04-08,confirmed_independent
104726,HOWLAND CAPITAL MANAGEMENT LLC,3.32,PARSER_GAP,2026-04-08,confirmed_independent
106945,THE BURNEY COMPANY,3.14,PARSER_GAP,2026-04-08,confirmed_independent
105581,SHAPIRO CAPITAL MANAGEMENT LLC,2.95,ENTITY_NO_CODE,2026-04-08,confirmed_independent
128591,"SCHNEIDER DOWNS WEALTH MANAGEMENT ADVISORS, LP",2.91,ENTITY_NO_CODE,2026-04-08,confirmed_independent
150593,"SENTRY, LLC",2.72,PARSER_GAP,2026-04-08,confirmed_independent
130640,GIVERNY CAPITAL,2.7,PARSER_GAP,2026-04-08,confirmed_independent
46217,HOLLENCREST CAPITAL MANAGEMENT,2.67,PARSER_GAP,2026-04-08,confirmed_independent
110861,AMERICAN CAPITAL MANAGEMENT INC,2.64,PARSER_GAP,2026-04-08,confirmed_independent
197522,DUNDAS GLOBAL INVESTORS,2.53,PARSER_GAP,2026-04-08,confirmed_independent
109505,DOMINI IMPACT INVESTMENTS LLC,2.44,PARSER_GAP,2026-04-08,confirmed_independent
105343,"BALDWIN WEALTH PARTNERS, LLC",2.41,PARSER_GAP,2026-04-08,confirmed_independent
104764,COZAD ASSET MANAGEMENT INC,2.24,PARSER_GAP,2026-04-08,confirmed_independent
288210,GRYPHON FINANCIAL PARTNERS,2.03,PARSER_GAP,2026-04-08,confirmed_independent
106817,PINNACLE ADVISORS,1.94,PARSER_GAP,2026-04-08,confirmed_independent
157423,ALPHASTAR CAPITAL MANAGEMENT,1.84,PARSER_GAP,2026-04-08,confirmed_independent
105637,"THE HARBOR GROUP, INC.",1.73,ENTITY_NO_CODE,2026-04-08,confirmed_independent
323369,SP ASSET MANAGEMENT LLC,1.71,PARSER_GAP,2026-04-08,confirmed_independent
106550,"JNBA FINANCIAL ADVISORS, LLC",1.68,ENTITY_NO_CODE,2026-04-08,confirmed_independent
120361,"MAIN MANAGEMENT, LLC",1.65,PARSER_GAP,2026-04-08,confirmed_independent
158544,NAPLES GLOBAL ADVISORS,1.65,PARSER_GAP,2026-04-08,confirmed_independent
308203,"QUENT CAPITAL, LLC",1.65,PARSER_GAP,2026-04-08,confirmed_independent
20999,"CALTON & ASSOCIATES, INC.",1.58,PARSER_GAP,2026-04-08,confirmed_independent
328398,"TRITONPOINT WEALTH, LLC",1.54,PARSER_GAP,2026-04-08,confirmed_independent
105910,"LEE FINANCIAL COMPANY, LLC",1.5,PARSER_GAP,2026-04-08,confirmed_independent
282707,RW INVESTMENT MANAGEMENT LLC,1.47,PARSER_GAP,2026-04-08,confirmed_independent
130449,"COURAGE CAPITAL MANAGEMENT, LLC",1.44,PARSER_GAP,2026-04-08,confirmed_independent
149108,"TELOS CAPITAL MANAGEMENT, INC.",1.42,PARSER_GAP,2026-04-08,confirmed_independent
283112,"GILBERT & COOK, INC.",1.36,PARSER_GAP,2026-04-08,confirmed_independent
149230,"EVERMAY WEALTH MANAGEMENT, LLC",1.18,PARSER_GAP,2026-04-08,confirmed_independent
110672,NEUMEIER POMA INVESTMENT COUNSEL LLC,1.09,PARSER_GAP,2026-04-08,confirmed_independent
283066,STONY POINT CAPITAL,1.09,ENTITY_NO_CODE,2026-04-08,confirmed_independent
143771,"CYPRESS POINT WEALTH MANAGEMENT, LLC",1.07,PARSER_GAP,2026-04-08,confirmed_independent
109127,PORTLAND GLOBAL ADVISORS LLC,1.01,PARSER_GAP,2026-04-08,confirmed_independent
155200,"TRIGRAN INVESTMENTS, INC.",0.95,ENTITY_NO_CODE,2026-04-08,confirmed_independent
109993,"OARSMAN CAPITAL, INC",0.93,PARSER_GAP,2026-04-08,confirmed_independent
104635,DEAN INVESTMENTS,0.9,ENTITY_NO_CODE,2026-04-08,confirmed_independent
22090,CHRISTOPHER WEIL & CO INC,0.9,PARSER_GAP,2026-04-08,confirmed_independent
107049,"TRAN CAPITAL MANAGEMENT, L.P.",0.89,ENTITY_NO_CODE,2026-04-08,confirmed_independent
298774,"CORRECT CAPITAL WEALTH MANAGEMENT, LLC",0.89,PARSER_GAP,2026-04-08,confirmed_independent
161985,"SIMCOE CAPITAL MANAGEMENT, LLC",0.87,PARSER_GAP,2026-04-08,confirmed_independent
282851,NUMERAI,0.84,PARSER_GAP,2026-04-08,confirmed_independent
