parent_crd,parent_name,parent_eid,parent_aum_b,orphan_eid,orphan_name,name_score,action
105208,"BLACKHILL CAPITAL, INC",9138,2.0,20152,BlackHill Capital Partners LLC ,73.07692307692308,REVIEW
323369,SP ASSET MANAGEMENT LLC,8580,1.71,18821,"Spectrum Asset Management, Inc.",77.77777777777779,REVIEW
323369,SP ASSET MANAGEMENT LLC,8580,1.71,10034,"Spectrum Asset Management, Inc.",77.77777777777779,REVIEW
323369,SP ASSET MANAGEMENT LLC,8580,1.71,18768,"SPARX Asset Management Co., Ltd.",76.36363636363637,REVIEW
323369,SP ASSET MANAGEMENT LLC,8580,1.71,20061,"Sprott Asset Management USA, Inc.",75.0,REVIEW
323369,SP ASSET MANAGEMENT LLC,8580,1.71,19805,"Prospector Partners Asset Management, LLC",71.875,REVIEW
323369,SP ASSET MANAGEMENT LLC,8580,1.71,760,Spinnaker Asset Management - SAM LTD,71.1864406779661,REVIEW
323369,SP ASSET MANAGEMENT LLC,8580,1.71,5004,"Spectrum Asset Management, Inc. (NB/CA)",67.74193548387098,REVIEW
323369,SP ASSET MANAGEMENT LLC,8580,1.71,8244,Springhill Fund Asset Management (HK) Co Ltd,62.68656716417911,REVIEW
120361,"MAIN MANAGEMENT, LLC",10617,1.65,1732,"MAINSAIL ASSET MANAGEMENT, LLC",80.0,REVIEW
120361,"MAIN MANAGEMENT, LLC",10617,1.65,4036,"MAINSAIL MANAGEMENT COMPANY, LLC",73.07692307692308,REVIEW
120361,"MAIN MANAGEMENT, LLC",10617,1.65,4302,Mainstream Capital Management LLC,71.69811320754718,REVIEW
120361,"MAIN MANAGEMENT, LLC",10617,1.65,2939,MAINSTAY CAPITAL MANAGEMENT LLC /ADV,67.85714285714286,REVIEW
282707,RW INVESTMENT MANAGEMENT LLC,3744,1.47,8758,"Warwick Investment Management, Inc.",76.19047619047619,REVIEW
143771,"CYPRESS POINT WEALTH MANAGEMENT, LLC",7047,1.07,7611,CYPRESS POINT INVESTMENT MANAGEMENT LP,70.27027027027026,REVIEW
161985,"SIMCOE CAPITAL MANAGEMENT, LLC",2244,0.87,8350,Simcoe Capital LLC,75.0,REVIEW
156660,MOUNTAIN CAPITAL INVESTMENT ADVISORS INC,1566,0.74,6618,"SKY-MOUNTAIN CAPITAL MANAGEMENT, INC.",70.12987012987013,REVIEW
156660,MOUNTAIN CAPITAL INVESTMENT ADVISORS INC,1566,0.74,5592,"Mountain Capital Management, LLC",69.44444444444444,REVIEW
156660,MOUNTAIN CAPITAL INVESTMENT ADVISORS INC,1566,0.74,7203,"Bear Mountain Capital, Inc.",68.65671641791045,REVIEW
305849,BAILLIE GIFFORD INTERNATIONAL LLC,9198,0.72,3729,BAILLIE GIFFORD OVERSEAS LTD,65.57377049180329,REVIEW
305849,BAILLIE GIFFORD INTERNATIONAL LLC,9198,0.72,13386,JNL/Baillie Gifford International Growth Fund,64.1025641025641,REVIEW
286648,"DEFINE FINANCIAL, LLC",7681,0.28,9465,Defined Financial Planning LLC,78.43137254901961,REVIEW
