parent_eid,parent_name,orphan_eid,orphan_name,score,action
2837,"PINNACLE FINANCIAL PARTNERS, INC.",4101,PINNACLE FINANCIAL PARTNERS INC,96.9,WIRE
19513,"INTREPID CAPITAL MANAGEMENT, INC.",5036,INTREPID CAPITAL MANAGEMENT INC,96.9,WIRE
18022,CONSTELLATION INVESTMENTS INC,9133,"CONSTELLATION INVESTMENTS, INC.",96.7,WIRE
18169,"VONTOBEL ASSET MANAGEMENT, INC.",11209,VONTOBEL ASSET MANAGEMENT INC,96.7,WIRE
18352,"FENIMORE ASSET MANAGEMENT, INC.",7991,FENIMORE ASSET MANAGEMENT INC,96.7,WIRE
19253,"TANAKA CAPITAL MANAGEMENT, INC.",851,TANAKA CAPITAL MANAGEMENT INC,96.7,WIRE
7714,EAGLE ASSET MANAGEMENT INC,18804,"EAGLE ASSET MANAGEMENT, INC.",96.3,WIRE
2273,"TORTOISE CAPITAL ADVISORS, L.L.C.",20187,"TORTOISE CAPITAL ADVISORS, LLC",95.2,WIRE
20187,"TORTOISE CAPITAL ADVISORS, LLC",2273,"TORTOISE CAPITAL ADVISORS, L.L.C.",95.2,WIRE
20093,PRINCIPAL STREET PARTNERS. LLC.,8738,"PRINCIPAL STREET PARTNERS, LLC",95.1,WIRE
19180,SPIRIT OF AMERICA MANAGEMENT CORP.,7691,SPIRIT OF AMERICA MANAGEMENT CORP/NY,94.3,WIRE
19282,HORIZON KINETICS ASSET MANAGEMENT,8183,HORIZON KINETICS ASSET MANAGEMENT LLC,94.3,WIRE
18883,MONDRIAN INVESTMENT PARTNERS LIMITED,855,MONDRIAN INVESTMENT PARTNERS LTD,94.1,WIRE
18786,GARDNER LEWIS ASSET MANAGEMENT,2183,GARDNER LEWIS ASSET MANAGEMENT L P,93.8,WIRE
23,MORGAN STANLEY INVESTMENT MANAGEMENT,18210,MORGAN STANLEY INVESTMENT MANAGEMENT INC.,93.5,WIRE
18210,MORGAN STANLEY INVESTMENT MANAGEMENT INC.,23,MORGAN STANLEY INVESTMENT MANAGEMENT,93.5,WIRE
139,POLUNIN CAPITAL PARTNERS LTD,18845,POLUNIN CAPITAL PARTNERS LIMITED,93.3,WIRE
18598,MOTLEY FOOL ASSET MANAGEMENT,8482,MOTLEY FOOL ASSET MANAGEMENT LLC,93.3,WIRE
19367,CHECK CAPITAL MANAGEMENT INC.,9159,CHECK CAPITAL MANAGEMENT INC/CA,93.3,WIRE
20173,PACIFIC CAPITAL PARTNERS LIMITED,10295,PACIFIC CAPITAL PARTNERS LTD,93.3,WIRE
17931,FEDERATED INVESTMENT MANAGEMENT COMPANY,7633,FEDERATED INVESTMENT MANAGEMENT CO,93.2,WIRE
1600,"FINANCIAL PARTNERS GROUP, INC",9722,"FINANCIAL PARTNERS GROUP, LLC",93.1,WIRE
9722,"FINANCIAL PARTNERS GROUP, LLC",1600,"FINANCIAL PARTNERS GROUP, INC",93.1,WIRE
18691,UBS ASSET MANAGEMENT (AMERICAS) LLC,19944,UBS ASSET MANAGEMENT (AMERICAS) INC.,93.0,WIRE
19170,CAPITAL  ADVISORS INC,826,CAPITAL ADVISORS INC/OK,93.0,WIRE
19297,ALLIANZ INVESTMENT MANAGEMENT LLC,9029,ALLIANZ INVESTMENT MANAGEMENT U.S. LLC,93.0,WIRE
9927,"RUSSELL INVESTMENT MANAGEMENT, LLC",8703,RUSSELL INVESTMENT MANAGEMENT LTD,92.5,WIRE
17930,FEDERATED ADVISORY SERVICES COMPANY,3575,FEDERATED ADVISORY SERVICES CO,92.3,WIRE
17979,IMPAX ASSET MANAGEMENT LLC,2481,IMPAX ASSET MANAGEMENT LTD,92.3,WIRE
17979,IMPAX ASSET MANAGEMENT LLC,17981,IMPAX ASSET MANAGEMENT LTD,92.3,WIRE
58,LAZARD ASSET MANAGEMENT,18070,LAZARD ASSET MANAGEMENT LLC,92.0,WIRE
18070,LAZARD ASSET MANAGEMENT LLC,58,LAZARD ASSET MANAGEMENT,92.0,WIRE
18167,"PENN MUTUAL ASSET MANAGEMENT, LLC",6311,PENN MUTUAL ASSET MANAGEMENT,91.8,WIRE
18714,BOSTON TRUST WALDEN INC.,4437,BOSTON TRUST WALDEN CO,91.3,WIRE
22,GOLDMAN SACHS ASSET MANAGEMENT,17941,"GOLDMAN SACHS ASSET MANAGEMENT, L.P.",90.9,WIRE
4323,HARDING LOEVNER LP,71,HARDING LOEVNER,90.9,WIRE
10914,PRUDENTIAL FINANCIAL INC,77,PRUDENTIAL FINANCIAL,90.9,WIRE
