filer_cik,filer_name,filing_count,targets,latest_filing,earliest_filing,last_form_type,auto_classification,manual_classification,existing_entity_id,action,notes
1306550,BlackRock Energy & Resources Trust,2906,2049,2023-12-06,2022-12-30,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_BLACKROCK_EID,add CIK identifier to BlackRock,Confirmed BlackRock entity
932471,Vanguard Horizon Funds,856,442,2024-12-06,2024-10-02,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_VANGUARD_EID,add CIK identifier to Vanguard,Confirmed Vanguard entity
1184765,FIRST TRUST PORTFOLIOS LP,445,102,2024-12-06,2022-01-10,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_FIRST_TRUST_PORTFOLIOS_EID,add CIK identifier to First Trust Portfolios,Confirmed First Trust Portfolios entity
1678858,Wellington Management Group LLP,221,221,2022-02-04,2022-02-04,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_WELLINGTON_MANAGEMENT_EID,add CIK identifier to Wellington Management,Confirmed Wellington Management entity
947871,Shearman & Sterling LLP,175,76,2024-11-21,2022-01-19,SC 13G/A,LIKELY_LAW_FIRM,LAW_FIRM,,,
918923,BIOTECHNOLOGY VALUE FUND L P,144,57,2024-12-17,2022-01-03,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1319244,Integrated Core Strategies (us) LLC,106,72,2024-11-07,2022-01-18,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_MILLENNIUM_MANAGEMENT_EID,add CIK identifier to Millennium Management,Confirmed Millennium Management entity
1352546,Flynn James E,94,43,2024-11-15,2022-02-08,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1171520,Electronic Publishing Services Inc,78,32,2024-11-14,2022-01-25,SC 13G/A,INSTITUTION,EXCLUDE,,,Likely filing agent - 78 filings across targets
1131362,HIRSCHMAN ORIN,69,34,2024-11-08,2022-01-07,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
905718,Lowenstein Sandler LLP,42,38,2022-04-14,2022-01-03,SC 13G/A,LIKELY_LAW_FIRM,LAW_FIRM,,,
1451785,HM Treasury,37,1,2024-11-25,2022-01-18,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as SWF",UK Government Treasury
1449433,"Apollo Management Holdings GP, LLC",36,15,2024-11-14,2022-01-04,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_APOLLO_GLOBAL_MANAGEMENT_EID,add CIK identifier to Apollo Global Management,Confirmed Apollo Global Management entity
936828,GIC Private Ltd,36,18,2024-12-10,2022-01-24,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_GIC_EID,add CIK identifier to GIC,Confirmed GIC entity
1646799,"INTRACOASTAL CAPITAL, LLC",35,22,2024-09-06,2022-02-03,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1812275,"Soleus Capital Master Fund, L.P.",34,12,2024-11-14,2022-01-27,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as hedge_fund",
1373604,"BML Investment Partners, L.P.",34,18,2024-12-12,2022-01-27,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",
1968076,Jacobsen Per A.,33,1,2024-12-13,2023-03-08,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1380585,Radoff Bradley Louis,33,9,2024-12-06,2022-02-09,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1072613,New Enterprise A,32,19,2024-12-04,2022-01-10,SC 13D/A,INSTITUTION,EXCLUDE,,,multi-filer CIK data quality issue — skip
1105806,LYTTON LAURENCE W,30,14,2024-11-25,2022-02-15,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1426094,M3 PARTNERS LP,26,10,2024-07-22,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1508239,Abdiel Qualified Master Fund LP,25,4,2024-11-14,2022-01-18,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as hedge_fund",
1306550,BlackRock Inc.,24,6,2023-12-06,2023-01-06,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_BLACKROCK_EID,add CIK identifier to BlackRock,Confirmed BlackRock entity
1640809,"22NW Fund, LP",21,5,2024-11-14,2022-01-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1540910,Forsakringsaktiebolaget Avanza Pension,21,4,2024-10-11,2022-01-20,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as pension_insurance",Swedish pension/insurance provider
1823719,Tuscany Shipping Corp.,21,2,2024-08-02,2022-02-02,SC 13D/A,INSTITUTION,EXCLUDE,,"create entity, classify as strategic",Likely corporate shell/non-institutional owner
1169253,MANCHESTER MANAGEMENT CO LLC,21,4,2024-11-25,2022-02-10,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
1080910,HELU CARLOS SLIM,21,3,2024-12-02,2022-02-03,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1846718,Space Summit Capital LLC,20,14,2024-12-12,2022-02-02,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1627436,Sylebra Capital Ltd,19,8,2023-11-17,2022-02-11,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as hedge_fund",HK-based long/short fund
1261725,Chan Heng Fai Ambrose,18,1,2024-06-28,2022-02-14,SC 13D/A,INSTITUTION,INDIVIDUAL,,,Individual person
1175707,"Farallon Capital Partners, L.P.",17,15,2023-04-07,2023-02-03,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as hedge_fund",Major HF ($35B+ AUM)
1883257,Werth Peter J.,17,1,2024-08-30,2022-12-23,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1732960,"MFN Partners, LP",17,8,2024-11-12,2022-02-09,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1824499,Roman DBDR Tech Sponsor LLC,17,1,2023-08-25,2022-01-06,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
893739,180 Degree Capital Corp. /NY/,16,2,2024-04-18,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
1404073,Blackstone Holdings III L.P.,16,3,2024-03-11,2022-01-21,SC 13D/A,INSTITUTION,MERGE,REPLACE_WITH_BLACKSTONE_EID,add CIK identifier to Blackstone,Confirmed Blackstone entity
1710959,"Insight Venture Partners X, L.P.",16,2,2024-12-12,2022-01-18,SC 13D/A,LIKELY_INDIVIDUAL,MERGE,REPLACE_WITH_INSIGHT_PARTNERS_EID,add CIK identifier to Insight Partners,Confirmed Insight Partners entity
1019432,Leviticus Partners LP,15,4,2024-10-28,2022-10-20,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
48966,"COWEN AND COMPANY, LLC",15,10,2024-11-13,2022-11-02,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as wealth_management","Broker-dealer, now TD Cowen"
1705931,"cobas asset management, sgiic, s.a.",14,4,2024-07-11,2022-02-15,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",
1463928,"YA II PN, Ltd.",14,6,2024-11-06,2022-05-03,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
937797,MALONE JOHN C,13,4,2024-11-14,2022-04-13,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1812477,Bitfarms Ltd,13,1,2024-09-23,2024-05-28,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1377789,"Aviat Networks, Inc.",13,1,2022-08-23,2022-06-27,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1970265,TORO 18 HOLDINGS LLC,13,3,2024-06-12,2023-03-23,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1321655,Palantir Technologies Inc.,13,2,2024-11-08,2023-04-10,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
1111726,BOARD OF DIRECTORS OF METLIFE INC,12,1,2024-11-01,2022-02-18,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1005788,ROLLINS GARY W,12,2,2023-09-27,2022-01-24,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1845422,Kuvare Insurance Services LP,12,4,2024-02-14,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as pension_insurance",
897101,Sit Investment A,12,8,2024-12-12,2024-06-05,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1421578,Putnam Investments LLC,12,6,2024-02-14,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
923727,"ESL PARTNERS, L.P.",12,2,2024-11-27,2022-03-16,SC 13D/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
914121,Cadwalader Wickersham & Taft LLP,12,6,2022-12-27,2022-03-11,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
936872,"Bay Pond Partners, L.P.",12,10,2024-05-16,2022-01-31,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",
1822443,Brem Monte M,11,1,2024-12-05,2022-10-20,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1840482,Alpha Frontier Ltd,11,1,2024-11-27,2022-01-24,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1680225,Avellan Abel Antonio,11,1,2024-11-20,2022-12-13,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
2020621,Galkin Vladimir,11,1,2024-09-05,2024-04-22,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1418812,"VA Partners I, LLC",11,6,2023-09-08,2022-01-04,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1882416,Adcock Brett,11,1,2023-11-13,2022-05-20,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1174866,BRISTOL INVESTMENT FUND LTD,11,2,2024-04-10,2022-02-28,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1688522,"Philotimo Fund, LP",11,5,2024-11-01,2022-09-30,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1876586,Donerail Group LP,10,1,2022-10-28,2022-01-25,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1268460,PACKER PAUL,10,3,2024-11-14,2022-02-14,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1494695,Manning Paul B,10,5,2024-11-12,2022-02-14,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
904532,RANKIN ALFRED M ET AL,10,2,2024-12-10,2022-02-11,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1871335,Stansberry Frank Porter,10,1,2024-08-13,2022-09-09,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1702202,"L1 Capital Global Opportunities Master Fund, Ltd.",10,8,2024-06-20,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as hedge_fund",
1033309,WILLIS CHARLES F IV,10,1,2024-08-28,2022-04-05,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1541680,Chen Sheng,10,1,2024-08-22,2022-04-08,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1863769,"Frazier Life Sciences Public Fund, L.P.",10,3,2024-11-07,2022-01-31,SC 13D/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1309858,WILLIFOOD INVESTMENTS LTD,10,1,2024-11-12,2022-06-22,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1628098,"Atlas Venture Fund X, L.P.",10,6,2024-10-28,2022-02-11,SC 13D/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as venture_capital",is_activist=TRUE
1288478,BIGGER CAPITAL FUND L P,10,5,2024-10-23,2022-01-27,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1770440,Anamar Investments Inc,10,1,2024-12-02,2023-10-16,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1232258,HBM Healthcare Investments (Cayman) Ltd.,10,4,2024-11-13,2022-02-11,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
1445546,First Trust Portfolios LP,10,1,2024-08-02,2022-01-26,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_FIRST_TRUST_PORTFOLIOS_EID,add CIK identifier to First Trust Portfolios,Confirmed First Trust Portfolios entity
1783044,Miller William H III,9,5,2024-04-29,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1403528,"Oaktree Capital Group, LLC",9,5,2023-12-05,2022-02-28,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
1441449,Qatar Investment Authority,9,7,2024-11-12,2022-02-03,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1598207,"Wax Asset Management, LLC",9,5,2024-09-06,2022-01-31,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1977041,George Gregory,9,1,2024-12-16,2023-05-10,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1455971,Tompkins Mark N.,9,4,2024-11-14,2022-02-14,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1014108,Jonathan Burrell,9,1,2024-10-04,2022-01-04,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1753037,"5AM Ventures VI, L.P.",9,4,2024-10-22,2023-03-06,SC 13G,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as venture_capital",
1769419,"Ionic Ventures, LLC",9,6,2024-06-28,2022-02-03,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as venture_capital",
1068238,Orrick Herrington & Sutcliffe LLP,9,5,2024-09-27,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1376474,The name and addre,9,4,2024-05-23,2022-01-11,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1666306,"ARCH Venture Fund IX, L.P.",9,4,2024-11-14,2022-02-10,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as venture_capital",
1105005,SCHRODER INVESTMENT MANAGEMENT NORTH AMERICA INC/ DE,9,6,2024-02-13,2022-02-09,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
1443898,INTERWEST PARTNERS X LP,9,4,2024-01-19,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1735742,"EIG VETERAN EQUITY AGGREGATOR, L.P.",9,1,2024-06-26,2022-02-01,SC 13D/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1831096,"Great Elm Group, Inc.",9,1,2024-12-13,2022-05-13,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1292877,DCM IV L P,9,1,2024-12-12,2022-08-29,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1904934,ISQ Global Fund II GP LLC,9,1,2024-03-11,2022-03-04,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1605484,Stellantis N.V.,9,1,2024-07-03,2023-05-09,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1603198,"Andreessen Horowitz Fund IV, L.P.",8,1,2024-12-11,2022-09-09,SC 13D/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
936468,Lockheed Martin Corp,8,1,2024-08-16,2022-03-31,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
1731122,"Garvin Family Sports, L.L.C.",8,1,2024-11-29,2024-10-16,SC 13G/A,LIKELY_INDIVIDUAL,INDIVIDUAL,,,
1736768,Jones Mark Evan,8,1,2023-11-24,2022-08-04,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1080014,"Innoviva, Inc.",8,1,2024-11-14,2022-02-02,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1403525,"Oaktree Capital Group Holdings GP, LLC",8,5,2024-11-14,2024-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
1429586,SAN FAUSTIN S.A.,8,2,2024-12-09,2022-03-07,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
2010776,ZUU Co. Ltd.,8,1,2024-10-01,2024-02-06,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1665741,Accel Leaders Fund L.P.,8,3,2024-11-14,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1106770,ADVANCE/NEWHOUSE PARTNERSHIP,8,1,2023-11-02,2022-02-15,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1137443,FRIEDMAN GARY G,8,1,2023-07-14,2022-04-04,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1777141,Kent Lake Partners LP,8,4,2024-06-28,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1113303,STILWELL JOSEPH,8,2,2024-11-05,2022-03-28,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1771346,Abra Marinvest Inc.,8,1,2024-09-18,2023-05-03,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1235126,Wayne W. Boos,8,2,2024-09-23,2023-08-01,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1520619,ETFS Capital Limited.,8,1,2024-11-21,2022-01-24,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as passive",
90045,"Paragon Technologies, Inc.",8,1,2024-04-17,2023-07-07,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1360554,"Hoak Public Equities, LP",8,4,2023-08-17,2022-11-28,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1878772,Barron Gerard,8,1,2024-04-18,2022-02-22,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1072613,Karpus Management Inc. d/b/a Karpus Investment Management,8,2,2024-09-18,2023-12-13,SC 13D/A,INSTITUTION,EXCLUDE,,,multi-filer CIK data quality issue — skip
1280493,SUN VALLEY GOLD LLC,8,3,2024-11-13,2022-02-08,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1704131,"Foresite Capital Fund IV, L.P.",8,5,2024-10-31,2022-02-11,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",
1818382,"Humacyte, Inc.",8,1,2024-11-20,2022-09-19,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1170549,Lehman Kenneth R,7,4,2024-04-10,2022-02-08,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1649320,HL VOTING TRUST,7,1,2024-09-24,2022-04-22,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
908255,BORGWARNER INC,7,1,2022-03-04,2022-02-18,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1672048,Hyer Raymond T,7,2,2024-02-21,2022-05-25,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1733340,"GV 2017, L.P.",7,2,2024-11-08,2022-02-14,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",
1340243,MorphoSys AG,7,1,2024-10-17,2024-04-18,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1579134,JAB Holdings B.V.,7,1,2024-08-13,2022-02-25,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
103379,V F CORP,7,2,2024-11-14,2022-02-08,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
215466,"Coeur Mining, Inc.",7,1,2023-11-29,2022-02-09,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
1140358,ALPHA CAPITAL ANSTALT,7,6,2024-03-18,2022-01-13,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1720320,"Frazier Life Sciences IX, L.P.",7,3,2023-09-05,2022-08-11,SC 13D/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1746478,JAB BevCo B.V.,7,1,2024-10-30,2022-11-14,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1161866,GREAT HILL INVESTORS LLC,7,1,2024-05-23,2023-05-22,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1746777,"EW HEALTHCARE PARTNERS FUND 2, L.P.",7,1,2024-10-28,2022-01-19,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",
1055919,DUGGAN ROBERT W,7,2,2024-07-08,2022-06-13,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1791468,CHI Advisors LLC,7,4,2023-02-13,2022-02-11,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1464695,Blackstone Holdings I/II GP L.L.C.,7,4,2024-11-12,2022-02-11,SC 13G/A,INSTITUTION,MERGE,REPLACE_WITH_BLACKSTONE_EID,add CIK identifier to Blackstone,Confirmed Blackstone entity
1083031,CARLIN GREGORY A,7,1,2024-12-04,2022-08-03,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1594487,Richison Chad R.,7,1,2024-12-13,2022-02-15,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1404570,"Invus, L.P.",7,1,2024-12-09,2022-08-01,SC 13D/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1543112,Morningside Venture Investments Ltd,7,3,2023-10-04,2022-01-25,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as venture_capital",
1609330,"BAIN CAPITAL VENTURE FUND 2014, L.P.",7,2,2024-11-14,2022-02-14,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as venture_capital",
1690820,Carvana Co.,7,2,2024-11-01,2022-02-14,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1516478,"Camac Fund, LP",7,1,2023-08-23,2022-08-01,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1651542,Kahn Roger E.,7,1,2024-08-22,2022-08-30,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1691436,"Section 32 Fund 1, LP",7,1,2024-10-18,2022-04-04,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1515184,Ehrlichman Matt,7,1,2023-09-29,2022-02-16,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1937147,"Funicular Funds, LP",7,5,2024-04-24,2022-07-08,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1802732,Kong Jianping,6,1,2024-10-02,2023-02-13,SC 13G,INSTITUTION,INDIVIDUAL,,,
1592644,"Lincoln Park Capital Fund, LLC",6,3,2024-02-14,2022-01-19,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
1426303,BENCHMARK CAPITAL PARTNERS VI LP,6,3,2024-02-13,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1468950,Clal Biotechnology Industries Ltd.,6,2,2024-04-10,2023-06-02,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1830773,Kennedy Lawrence T. Jr,6,1,2024-05-23,2022-01-07,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1851865,Novator Capital Sponsor Ltd.,6,1,2024-12-17,2023-08-28,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1715450,Palihapitiya Chamath,6,1,2023-11-20,2022-07-20,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1711252,Azvalor Asset Management Sgiic SA,6,2,2023-08-16,2022-05-26,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1954661,CastleKnight Master Fund LP,6,4,2024-12-17,2023-12-26,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as hedge_fund",
1900235,Banasino Investments Ltd,6,1,2023-06-20,2022-02-03,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",is_activist=TRUE
1550180,"Institutional Venture Partners XIV, L.P.",6,2,2024-02-13,2022-02-14,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as venture_capital",
1323582,Global Catalyst Partners III L P,6,1,2023-07-25,2022-05-06,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1563674,"Yorkmont Capital Partners, LP",6,2,2024-01-04,2022-01-05,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1540352,"Andreessen Horowitz Fund III, L.P.",6,3,2024-11-13,2022-02-14,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active",
1769005,Said Wafic Rida,6,1,2024-11-12,2022-10-11,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1873545,"5AM Partners VII, LLC",6,2,2024-11-14,2023-08-28,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1955982,"Soleus Private Equity Fund III, L.P.",6,6,2024-11-14,2023-05-24,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as private_equity",
1293451,Tencent Holdings Ltd,6,4,2024-11-12,2022-02-10,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
1678858,"Wellington Trust Company, NA",6,6,2022-02-04,2022-02-04,SC 13G/A,LIKELY_INDIVIDUAL,MERGE,REPLACE_WITH_WELLINGTON_MANAGEMENT_EID,add CIK identifier to Wellington Management,Confirmed Wellington Management entity
1520138,Jeff Toghraie,6,1,2024-10-15,2022-09-09,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1633289,O'Shaughnessy Gerald E,6,1,2024-04-16,2022-11-30,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1076352,ROTHBERG JONATHAN M,6,2,2024-09-17,2022-03-28,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
1794292,South Lake One LLC,6,2,2024-10-17,2022-02-01,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",
1251565,WYNNEFIELD PARTNERS SMALL CAP VALUE LP I,6,2,2024-07-30,2022-01-20,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1172222,HAWAIIAN HOLDINGS INC,6,1,2024-01-10,2022-02-03,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic",
1026013,KOONCE CALVIN SCOTT,6,1,2024-11-25,2024-04-02,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
