filer_cik,filer_name,filing_count,targets,latest_filing,earliest_filing,last_form_type,auto_classification,manual_classification,existing_entity_id,action,notes
2031188,KKR Dream Holdings LLC,1,1,2024-11-13,2024-11-13,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1678271,"Thrive Capital Partners V, L.P.",1,1,2022-02-10,2022-02-10,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
2023433,1382457 B.C. Ltd.,1,1,2024-05-15,2024-05-15,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1819438,"ESS Tech, Inc.  (GWH, GWH-WT)",1,1,2023-09-25,2023-09-25,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1847112,"TortoiseEcofin Acquisition Corp. III  (TRTLF, TRTUF, TRTWF)",1,1,2024-02-13,2024-02-13,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1605733,"2010 David R Cheriton Irrevocable Trust dtd July 28, 2010",1,1,2022-02-08,2022-02-08,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1340581,Lauder Jane A. Trust u/a/d 11/6/2003,1,1,2024-12-09,2024-12-09,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1960714,Figdor Drew,1,1,2023-01-13,2023-01-13,SC 13D,INSTITUTION,INDIVIDUAL,,,
1008093,LAL FAMILY CORP,1,1,2022-02-14,2022-02-14,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1850840,"Waldencast Ventures, LP",1,1,2023-02-23,2023-02-23,SC 13D,INSTITUTION,NEW_ENTITY,,"create entity, classify as venture_capital","auto-classified, single-filing filer, low priority"
1076128,MILLS RICHARD C,1,1,2024-02-15,2024-02-15,SC 13D,INSTITUTION,INDIVIDUAL,,,
1606286,"THOMA BRAVO FUND XI, L.P.",1,1,2024-11-12,2024-11-12,SC 13D/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
884887,Royal Caribbean Cruises Ltd,1,1,2024-02-12,2024-02-12,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1628280,IDENTIFICATION No. (Entities Only) Steven J. Schwartz,1,1,2024-02-14,2024-02-14,SC 13G/A,INSTITUTION,EXCLUDE,,,multi-filer CIK data quality issue — skip
1053471,LORBER HOWARD M,1,1,2023-12-12,2023-12-12,SC 13D/A,INSTITUTION,INDIVIDUAL,,,
897101,. Lilly Endowment Inc.,1,1,2024-01-26,2024-01-26,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1805833,"System1, Inc.",1,1,2024-06-21,2024-06-21,SC 13D,INSTITUTION,NEW_ENTITY,,"create entity, classify as active",is_activist=TRUE
1613689,Elghandour Rami,1,1,2024-11-08,2024-11-08,SC 13D,INSTITUTION,INDIVIDUAL,,,
1753926,"Benuvia Operations, LLC",1,1,2024-03-01,2024-03-01,SC 13G,INSTITUTION,INDIVIDUAL,,,
2009797,Santa Venerina Inv. & Arbitrage Ltd.,1,1,2024-02-01,2024-02-01,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1794717,SCVX Corp.,1,1,2022-02-14,2022-02-14,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1866757,"Brilliant Earth Group, Inc.",1,1,2023-02-10,2023-02-10,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1515673,Ultragenyx Pharmaceutical Inc.,1,1,2023-01-10,2023-01-10,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1628280,"Catalys Pacific Fund, LP",1,1,2024-02-13,2024-02-13,SC 13G,INSTITUTION,EXCLUDE,,,multi-filer CIK data quality issue — skip
1270925,LYNCH TIMOTHY P,1,1,2023-02-13,2023-02-13,SC 13G/A,INSTITUTION,INDIVIDUAL,,,
1637614,"Marathon Micro Fund, LP",1,1,2023-12-15,2023-12-15,SC 13G,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1036743,MAHAN JAMES S III,1,1,2022-02-11,2022-02-11,SC 13G/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as active","auto-classified, single-filing filer, low priority"
1435573,LIGHTSPEED VENTURE PARTNERS VIII LP,1,1,2024-06-28,2024-06-28,SC 13D/A,INSTITUTION,NEW_ENTITY,,"create entity, classify as venture_capital","auto-classified, single-filing filer, low priority"
1920475,EMAMI MAJID,1,1,2022-05-06,2022-05-06,SC 13D,INSTITUTION,INDIVIDUAL,,,
1760903,"Jupiter Wellness, Inc.",1,1,2023-08-24,2023-08-24,SC 13D,INSTITUTION,NEW_ENTITY,,"create entity, classify as strategic","auto-classified, single-filing filer, low priority"
1589315,"5AM Ventures IV, L.P.",1,1,2024-11-14,2024-11-14,SC 13G/A,LIKELY_INDIVIDUAL,NEW_ENTITY,,"create entity, classify as venture_capital","auto-classified, single-filing filer, low priority"
