investor_name,ciks,positions,aum_mm,total_shares
Sarasin & Partners LLP,1,77,9631.7,52254110
Cooke & Bieler LP,1,95,9589.0,158542834
Gilder Gagnon Howe & Co LLC,1,239,9474.4,122431866
WELLCOME TRUST LTD (THE) as trustee of the WELLCOME TRUST,1,21,9315.1,49408163
Gardner Russo & Quinn LLC,1,58,9263.4,65526754
Phoenix Financial Ltd.,1,418,9227.0,176361336
Egerton Capital (UK) LLP,1,23,9200.4,49922640
Compagnie Lombard Odier SCmA,1,396,9197.6,58230970
LGT Group Foundation,1,278,9174.5,54808197
"Rwa Wealth Partners, LLC",1,578,9149.4,76657285
Fiduciary Management Inc /WI/,1,56,9094.8,122491967
Benjamin Edwards Inc,1,1145,9037.5,114415620
"NewEdge Wealth, LLC",1,1106,8851.8,94427252
"Blue Trust, Inc.",1,2280,8850.1,112291359
"Stratos Wealth Partners, LTD.",1,1394,8845.9,107872023
"Atria Investments, Inc",1,1797,8798.7,103643079
Meitav Investment House Ltd,1,220,8662.0,100063683
Lbp Am SA,1,393,8625.4,59538916
MUFG Securities EMEA plc,1,546,8618.6,69865963
ASR Vermogensbeheer N.V.,1,502,8599.1,58018484
Railway Pension Investments Ltd,1,105,8512.2,46395091
Engineers Gate Manager LP,1,1881,8432.3,189818025
"Union Bancaire Privee, UBP SA",1,487,8422.6,86881065
Everett Harris & Co /CA/,1,259,8265.9,49676876
Welch & Forbes LLC,1,367,8254.2,46247108
"Atreides Management, LP",1,48,8183.6,82834811
"Focus Partners Advisor Solutions, LLC",1,1017,8153.8,136564969
"Jump Financial, LLC",1,1677,8140.2,705857610
Andra AP-fonden,1,388,8094.3,63886599
Stephens Inc /AR/,1,1165,8038.1,90728511
Montrusco Bolton Investments Inc.,1,73,8025.0,59970060
Illinois Municipal Retirement Fund,1,1125,7979.7,85516360
"Horizon Investments, LLC",1,1224,7894.8,97753368
"Vest Financial, LLC",1,405,7884.4,72787033
Findlay Park Partners LLP,1,57,7837.2,46426780
Allianz SE,1,364,7765.4,97612042
"Forum Financial Management, LP",1,975,7686.9,164658414
Saturna Capital Corp,1,146,7540.4,37409154
Aware Super Pty Ltd as trustee of Aware Super,1,236,7486.0,40021185
Slate Path Capital LP,1,45,7414.4,219498000
"Vestmark Advisory Solutions, Inc.",1,1170,7410.0,104144959
Carmignac Gestion,1,116,7393.8,67874643
"Segall Bryant & Hamill, LLC",1,536,7388.2,145235864
Canoe Financial LP,1,97,7362.4,68667590
Allstate Corp,1,596,7320.8,54090866
"Douglas Lane & Associates, LLC",1,232,7286.0,89597694
United Super Pty Ltd in its capacity as Trustee for the Construction & Building Unions Superannuation Fund,1,171,7200.2,45366171
Groupe la Francaise,1,396,7140.9,125087825
"Ballentine Partners, LLC",1,958,7118.8,61641180
"Advisory Services Network, LLC",1,1555,7067.1,81615545
Edmond de Rothschild Holding S.A.,1,521,7042.4,143366835
BC Partners PE LP,1,2,6986.2,241129515
"Crossmark Global Holdings, Inc.",1,1182,6973.6,84757402
Df Dent & Co Inc,1,209,6947.8,46059557
Perpetual Ltd,1,395,6913.9,115181235
"Summit Financial, LLC",1,1130,6807.5,104191242
PointState Capital LP,1,51,6791.3,197328307
Abn Amro Investment Solutions,1,554,6756.7,46469585
Liontrust Investment Partners LLP,1,189,6738.8,51741762
