investor_name,ciks,positions,aum_mm,total_shares
"Waters Parkerson & Co., LLC",1,187,2035.5,13735386
Analog Century Management LP,1,22,2032.5,30813451
Lowe Brockenbrough & Co Inc,1,324,2031.1,15745992
Clearline Capital LP,1,93,2027.2,63242954
"Vr Adviser, LLC",1,25,2024.5,124682754
"Ribbit Management Company, LLC",1,11,2017.2,65854394
Syon Capital LLC,1,849,2005.7,24852081
"Sofi Wealth, LLC",1,48,2005.1,25580235
Finepoint Capital LP,1,7,2003.6,36131414
ATLAS Infrastructure Partners (UK) Ltd.,1,9,1994.4,37549181
GAMMA Investing LLC,1,3197,1990.5,21945002
"Eversept Partners, LP",1,98,1984.4,88952778
Mizuho Markets Cayman LP,1,90,1982.8,14802871
Qvr LLC,1,68,1982.1,7739229
Sigma Investment Counselors Inc,1,199,1968.2,27047655
"NEA Management Company, LLC",1,25,1961.1,130943750
"Root Financial Partners, LLC",1,2245,1956.9,34876040
Blue Whale Capital LLP,1,24,1948.7,11720545
"Cavalier Investments, LLC",1,51,1946.1,6602254
"Gilead Sciences, Inc.",1,6,1935.5,72590001
Teilinger Capital Ltd.,1,8,1927.6,6710800
Barr E S & Co,1,118,1921.2,10960449
Gmt Capital Corp,1,34,1918.3,64027493
L1 Capital Pty Ltd,1,20,1917.1,124394600
Smith Chas P & Associates Pa Cpas,1,168,1901.4,12129386
HSG Holding Ltd,1,12,1892.2,53644314
Community Trust & Investment Co,1,141,1890.9,13763789
UNIVEST FINANCIAL Corp,1,253,1886.2,16720069
Helikon Investments Ltd,1,11,1885.3,100630553
Accredited Investors Inc.,1,277,1883.0,20488792
"AdvisorNet Financial, Inc",1,1893,1877.9,31059925
Siemens Fonds Invest GmbH,1,532,1876.2,12269669
Spinnaker Trust,1,283,1868.2,20102075
"Bbr Partners, LLC",1,219,1863.7,13876442
Maren Capital LLC,1,21,1859.4,13007036
"Progeny 3, Inc.",1,37,1857.9,50886178
"Entropy Technologies, LP",1,811,1843.4,27629184
Mogy Joel R Investment Counsel Inc,1,112,1843.2,6721797
Roffman Miller Associates Inc /PA/,1,81,1831.3,10120112
"Sepio Capital, LP",1,346,1827.2,30835828
Srb Corp,1,23,1821.8,14059473
"Aristotle Capital Boston, LLC",1,120,1821.3,45111761
Rothschild Investment LLC,1,3091,1817.9,20623701
Soma Equity Partners LP,1,17,1817.6,26612160
Greenwood Gearhart Inc,1,108,1817.5,19107171
"Rice Hall James & Associates, LLC",1,236,1816.5,62974627
Cerity Partners OCIO LLC,1,25,1807.4,25110219
Pine Valley Investments Ltd Liability Co,1,483,1801.5,28934746
Sourcerock Group LLC,1,32,1791.7,76182081
"McKinley Carter Wealth Services, Inc.",1,300,1790.3,19048386
"Investure, LLC",1,15,1788.7,7810066
AlphaQuest LLC,1,2169,1787.0,43600799
Money Concepts Capital Corp,1,469,1783.6,21056339
Courier Capital LLC,1,365,1780.8,17832401
Leonteq Securities AG,1,1104,1777.1,30832039
FengHe Fund Management Pte. Ltd.,1,35,1776.2,16738042
Empire Life Investments Inc.,1,106,1775.0,14219345
General American Investors Co Inc,1,67,1772.3,24477981
Kepler Cheuvreux (Suisse) SA,1,143,1771.4,11605066
"Bramshill Investments, LLC",1,137,1768.7,56735405
"Grandfield & Dodd, LLC",1,203,1765.6,12272141
Financiere des Professionnels - Fonds d'investissement inc.,1,309,1764.7,17114198
"Clarius Group, LLC",1,376,1751.3,21280523
Ares Management LLC,1,32,1750.4,424690980
"Lmcg Investments, LLC",1,211,1749.3,11661083
Intesa Sanpaolo S.p.A.,1,192,1743.4,24216753
Trans-Canada Capital Inc.,1,7,1737.9,3854191
Regal Partners Ltd,1,93,1734.3,36987407
"Trek Financial, LLC",1,373,1726.6,41983496
Dnca Finance,1,103,1726.4,38181769
Jordan Park Group LLC,1,65,1726.0,34968881
Nwam LLC,1,576,1721.4,19126393
Mariner Investment Group LLC,1,88,1712.7,109307074
"ARS Investment Partners, LLC",1,185,1711.2,23409651
Patten & Patten Inc /TN/,1,333,1703.7,14268267
Broadwood Capital Inc,1,12,1702.2,86730737
Founders Financial Securities LLC,1,503,1697.5,22966051
"Strategic Blueprint, LLC",1,532,1696.7,22930207
Svb Wealth LLC,1,293,1696.1,12261550
Hilltop Holdings Inc.,1,828,1689.7,18878522
"Symmetry Partners, LLC",1,198,1689.6,30680811
"Granite Investment Partners, LLC",1,239,1687.2,21553593
Sienna Gestion,1,146,1683.8,12160508
"Diversified Enterprises, LLC",1,373,1681.2,34200180
Oak Associates Ltd /OH/,1,130,1663.7,8233440
Logos Global Management LP,1,61,1655.0,73033652
"Invictus Private Wealth, LLC",1,78,1652.2,7058222
Oak Ridge Investments LLC,1,173,1649.9,8444330
"Atairos Group, Inc.",1,4,1649.4,93996958
Glenorchy Capital Ltd,1,50,1649.1,12307138
Parcion Private Wealth LLC,1,401,1643.4,22032653
"BOK Financial Private Wealth, Inc.",1,445,1633.9,12434452
Cumberland Partners Ltd,1,168,1632.7,11161661
MFF Capital Investments Ltd,1,19,1632.2,7930854
Mcdonald Capital Investors Inc /CA/,1,21,1630.6,12158602
"Foster Dykema Cabot & Partners, LLC",1,321,1627.3,13012672
"Keel Point, LLC",1,500,1625.9,11710389
Roundview Capital LLC,1,325,1625.7,13257219
"Willis Johnson & Associates, Inc.",1,175,1623.0,22945707
Himension Capital (singapore) Pte. Ltd.,1,91,1620.0,11851907
Zweig-DiMenna Associates LLC,1,95,1611.2,18707382
"Casdin Capital, LLC",1,38,1609.9,139624849
Mufg Securities Americas Inc.,1,495,1606.7,21525163
"Ae Industrial Partners, LP",1,3,1606.3,128297047
"Rush Island Management, LP",1,17,1600.3,40147998
Woodmont Investment Counsel LLC,1,249,1595.3,19125660
"Certuity, LLC",1,565,1588.9,22478525
Azora Capital LP,1,45,1588.0,65886528
"Triglav Skladi, D.O.O.",1,154,1584.5,40368413
Fulton Breakefield Broenniman LLC,1,199,1584.4,10681556
United Services Automobile Association,1,20,1579.9,19203263
Browning West LP,1,5,1578.3,26832437
"DDD Partners, LLC",1,127,1571.3,11739204
Impactive Capital LP,1,8,1570.8,55787448
GAM Holding AG,1,268,1567.1,21273588
"Wealthspire Retirement, LLC",1,285,1566.3,19334612
Baldwin Wealth Partners LLC /MA/,1,228,1563.8,10938144
Alaska Permanent Fund Corp,1,5,1562.5,8180370
"Valley Wealth Managers, Inc.",1,342,1560.6,15570225
Hill Path Capital LP,1,7,1554.0,52332280
"Phillips Financial Management, LLC",1,295,1551.8,24709911
"FAS Wealth Partners, Inc.",1,477,1547.5,19172340
"Vivo Capital, LLC",1,44,1547.1,137948154
"Avestar Capital, LLC",1,393,1543.2,13836224
Oasis Management Co Ltd.,1,60,1542.7,117143702
Theleme Partners LLP,1,8,1536.1,18064648
"Hikari Tsushin, Inc.",1,79,1535.1,6300994
Swiss Re Ltd,1,235,1533.3,2288866
Kranot Hishtalmut Le Morim Ve Gananot Havera Menahelet LTD,1,55,1532.9,20161822
Fiduciary Alliance LLC,1,485,1530.2,20601596
"Fifth Third Securities, Inc. ",1,292,1529.6,18065998
FUKOKU MUTUAL LIFE INSURANCE Co,1,242,1524.2,19502332
"Asset Dedication, LLC",1,1031,1523.2,32044021
"Burkehill Global Management, LP",1,146,1518.3,116173458
Norris Perne & French LLP /MI/,1,159,1515.1,8771413
"American International Group, Inc.",1,2,1514.7,50148331
Howe & Rusling Inc,1,452,1511.8,10513252
Alpine Associates Management Inc.,1,58,1503.6,42955869
Commodore Capital LP,1,32,1502.2,96677457
"Sunbelt Securities, Inc.",1,2305,1499.3,23014270
"Vantage Investment Partners, LLC",1,61,1498.7,8830958
"PDS Planning, Inc",1,533,1497.0,16754624
"Sfmg, LLC",1,291,1491.7,15548703
Pale Fire Capital SE,1,54,1489.9,114558966
No Street GP LP,1,32,1484.9,51784824
"Waddell & Associates, LLC",1,357,1481.7,20057438
Partners Group Holding AG,1,47,1481.0,121652258
"Silver Oak Securities, Incorporated",1,696,1480.0,23782259
"Armstrong Advisory Group, Inc",1,888,1479.7,16594682
Shufro Rose & Co LLC,1,271,1478.3,23989378
Cullinan Associates Inc,1,208,1475.4,9302016
Lutz Financial Services LLC,1,100,1470.4,20312019
"Cornerstone Wealth Group, LLC",1,359,1462.8,12832986
"First American Trust, Fsb",1,253,1455.4,14782036
IQ EQ FUND MANAGEMENT (IRELAND) Ltd,1,284,1449.4,29080227
Covalis Capital LLP,1,71,1424.0,49708294
Heitman Real Estate Securities LLC,1,53,1421.7,25350804
"Generali Investments CEE, investicni spolecnost, a.s.",1,306,1419.5,28563997
"Capital Investment Advisory Services, LLC",1,905,1414.4,20323293
"Private Wealth Partners, LLC",1,163,1411.1,8205631
Baring Fintech Manager Holding Ltd,1,1,1410.4,18051851
Twinbeech Capital LP,1,530,1407.5,27615099
"ProVise Management Group, LLC",1,247,1404.8,16257652
Hardy Reed LLC,1,235,1402.3,10677224
Prescott General Partners LLC,1,9,1400.8,10404936
"Lightspeed Management Company, L.L.C.",1,6,1396.4,92447850
"Insigneo Advisory Services, LLC",1,685,1394.1,15278366
"Waterloo Capital, L.P.",1,437,1388.7,20077137
P/E Global LLC,1,5,1387.6,5045566
"Quent Capital, LLC",1,1483,1386.0,20462960
"Blue Chip Partners, LLC",1,163,1378.9,12542595
"Leo Wealth, LLC",1,390,1378.7,20891375
Delta Global Management LP,1,153,1374.5,18611144
Johns Hopkins University,1,13,1373.2,13149898
"Nicholas Investment Partners, LP",1,191,1372.8,121155749
Galileo (PTC) Ltd,1,4,1372.7,64474581
Stone Ridge Holdings Group LP,1,2,1371.8,3691122
BloombergSen Inc.,1,27,1370.5,8593234
"CFS Investment Advisory Services, LLC",1,320,1369.5,18753930
Lansdowne Partners (uk) LLP,1,23,1363.7,13268526
"First Long Island Investors, LLC",1,74,1363.1,6596529
Stony Point Capital LLC,1,32,1362.9,6180982
"Redmile Group, LLC",1,31,1357.9,106842416
Paradigm Operations LP,1,3,1357.5,13272310
Strategy Capital LLC,1,10,1356.0,9582011
140 Summer Partners LP,1,18,1353.2,21469238
N.E.W. Advisory Services LLC,1,813,1352.1,19469612
Wbh Advisory Inc,1,340,1350.5,18625957
"Abrams Bison Investments, LLC",1,9,1348.9,21605880
Liberty 77 Capital L.P.,1,3,1345.6,134351905
"Elequin Capital, LP",1,335,1345.1,75755067
PPSC Investment Service Corp,1,8,1339.7,5974755
"Insight Holdings Group, LLC",1,30,1337.3,61342843
"Main Street Financial Solutions, LLC",1,473,1335.7,23910934
"Nbc Securities, Inc.",1,1916,1333.9,20005936
Vicus Capital,1,245,1333.0,17951852
Leith Wheeler Investment Counsel Ltd.,1,84,1332.4,10289601
"Harbor Investment Advisory, LLC",1,1121,1331.9,9450819
"a16z Perennial Management, L.P.",1,139,1331.1,24649048
"Ycg, LLC",1,44,1325.4,6171579
Wealthquest Corp,1,143,1324.3,15065409
"Smith, Moore & Co.",1,482,1322.8,17257915
"First Heartland Consultants, Inc.",1,446,1319.4,22647146
Arnhold LLC,1,105,1318.4,24630976
"Global X Japan Co., Ltd.",1,321,1314.4,5852228
Fairmount Funds Management LLC,1,13,1313.8,48721157
"DigitalBridge Group, Inc.",1,61,1311.0,18932292
"RVW Wealth, LLC",1,166,1309.3,23525534
American Securities LLC,1,1,1305.8,45026743
"Styrax Capital, LP",1,16,1305.2,6490271
Value Partners Investments Inc.,1,99,1304.2,15433170
Credit Industriel et Commercial,1,233,1301.3,123491771
Toyota Motor Corp/,1,2,1298.6,90051421
"United Asset Strategies, Inc.",1,250,1295.5,10003268
KRYGER CAPITAL Ltd,1,30,1294.6,33389204
Crosslink Capital Inc,1,19,1291.1,37810614
"Koss-Olinger Consulting, LLC",1,244,1290.6,28487604
"Verity & Verity, LLC",1,149,1287.8,14312665
Novo Holdings A/s,1,22,1287.7,39700870
Pureheart Capital Pte Ltd.,1,5,1287.2,6041000
Tompkins Financial Corp,1,625,1286.0,9519373
"Galvin, Gaustad & Stein, LLC",1,244,1281.4,13607518
Private Advisory Group LLC,1,224,1276.2,13545079
E-L Financial Corp Ltd,1,1,1273.4,1479844
"M.D. Sass, LLC",1,35,1268.8,15752234
Trust Point Inc.,1,466,1266.0,12117679
LGT Fund Management Co Ltd.,1,212,1265.1,10834434
Nan Fung Trinity (hk) Ltd,1,74,1262.2,33336254
Algebris (UK) Ltd,1,77,1260.3,46952326
W.G. Shaheen & Associates DBA Whitney & Co,1,166,1256.7,9447450
"MBL Wealth, LLC",1,269,1247.8,17834619
Guardian Partners Inc.,1,196,1247.7,16941443
Central Securities Corp,1,29,1243.7,7404380
"Advisor OS, LLC",1,465,1241.4,14611618
"K2 Principal Fund, L.P.",1,201,1241.2,49797324
"Optimus Prime Fund Management Co., Ltd.",1,24,1240.9,19050655
"Tweedy, Browne Co LLC",1,88,1238.6,32169772
"LRI Investments, LLC",1,1274,1238.1,17043941
Forbes J M & Co LLP,1,101,1235.0,10191809
"Kim, LLC",1,65,1234.9,502754842
"Stadion Money Management, LLC",1,23,1233.5,20135856
Common Fund for Nonprofit Organizations,1,25,1231.3,8478885
Park Presidio Capital LLC,1,15,1228.7,9283021
Aquamarine Financial (Cayman) Ltd,1,11,1228.2,197113865
"Mangrove Partners Im, LLC",1,302,1227.2,64753044
"XML Financial, LLC",1,410,1225.9,17895925
"Clear Creek Financial Management, LLC",1,504,1225.5,18768124
"Waycross Partners, LLC",1,93,1222.2,5950996
One Day In July LLC,1,147,1217.3,15176420
"Summit Financial Strategies, Inc.",1,162,1216.9,23195209
Fishman Jay A Ltd /MI/,1,82,1216.0,8880616
"Talbot Financial, LLC",1,68,1214.8,5303284
Caligan Partners LP,1,20,1214.8,36470160
"AltraVue Capital, LLC",1,26,1213.6,28815094
Neumeier Poma Investment Counsel LLC,1,42,1210.0,18103067
"DT Investment Partners, LLC",1,531,1207.8,9268669
American Express Co,1,1,1207.1,157786199
"Diversified Portfolios, Inc.",1,172,1201.2,17280788
Chescapmanager LLC,1,19,1201.0,21078591
Clean Energy Transition LLP,1,10,1198.5,11038729
Headlands Technologies LLC,1,601,1198.4,27310122
"Heritage Financial Services, LLC",1,124,1198.0,20811260
"Meteora Capital, LLC",1,114,1195.3,257260292
"Estate Counselors, LLC",1,89,1194.3,30235307
Longaeva Partners L.P.,1,110,1192.2,32556652
Brandywine Oak Private Wealth LLC,1,225,1191.5,17017662
"Fiduciary Group, LLC",1,288,1190.6,9774959
American Trust,1,316,1189.5,10804799
"Journey Advisory Group, LLC",1,252,1189.2,17973457
Falcon Wealth Planning,1,207,1187.3,16805842
"Means Investment Co., Inc.",1,180,1187.0,8676552
"FourThought Financial Partners, LLC",1,485,1184.1,11631756
"Kintegral Advisory, LLC",1,228,1180.8,7518280
Sagefield Capital LP,1,92,1180.3,29053606
Winthrop Advisory Group LLC,1,185,1180.1,10651799
"German American Bancorp, Inc.",1,121,1174.3,8770320
J. Stern & Co. LLP,1,43,1173.4,1173366950
"Elevation Point Wealth Partners, LLC",1,507,1166.9,13293029
Woodstock Corp,1,150,1165.3,8185217
Anderson Hoagland & Co,1,136,1162.3,11340365
Sora Investors LLC,1,80,1161.3,10177771
Zazove Associates LLC,1,116,1161.3,1000129675
Connors Investor Services Inc,1,145,1161.3,11274576
"Levin Capital Strategies, L.P.",1,197,1158.7,20946224
Consolidated Portfolio Review Corp,1,33,1157.4,7974884
Mirabella Financial Services LLP,1,233,1154.1,70067365
Sylebra Capital LLC,1,8,1153.3,74292743
Symmetry Investments LP,1,109,1153.1,12743512
Electrum Group LLC,1,8,1146.9,156381301
"Wescott Financial Advisory Group, LLC",1,184,1145.7,12168103
"EnCap Energy Capital Fund XI, L.P.",1,3,1138.6,33993833
NewSquare Capital LLC,1,173,1133.8,15355802
"Salomon & Ludwin, LLC",1,1698,1131.1,11703752
"Harvey Partners, LLC",1,40,1128.5,34763812
"Technology Crossover Management IX, Ltd.",1,5,1127.6,54704487
Nationale-Nederlanden Powszechne Towarzystwo Emerytalne S.A.,1,47,1126.8,9065284
Rossmore Private Capital,1,316,1122.9,9011636
"Townsend & Associates, Inc",1,107,1120.7,13726298
"Zuckerman Investment Group, LLC",1,129,1120.1,18817602
"Richard C. Young & CO., LTD.",1,87,1116.1,8880632
Keystone Investors Pte Ltd,1,74,1113.3,8759570
"Godsey & Gibb, Inc",1,427,1113.1,10263947
North of South Capital LLP,1,23,1112.8,42945763
EQT Fund Management S.a r.l.,1,2,1112.1,39133973
"Inspire Investing, LLC",1,1039,1111.4,30428794
"Wealth Architects, LLC",1,235,1109.8,13800265
MOTCO,1,604,1103.2,8075469
"Awm Capital, LLC",1,100,1101.7,22623813
"Royal Fund Management, LLC",1,242,1099.6,10058053
Greenvale Capital LLP,1,14,1099.1,42711791
"Hackensack Meridian Health, Inc.",1,7,1097.0,8106932
Connable Office Inc,1,226,1090.8,9573008
Avenir Tech Ltd,1,18,1089.3,30604234
"First Business Financial Services, Inc.",1,165,1089.0,7411251
"Syntegra Private Wealth Group, LLC",1,175,1088.9,14158057
GuoLine Advisory Pte Ltd,1,23,1087.4,4039000
"Verus Financial Partners, Inc.",1,112,1087.0,11786813
OneAscent Financial Services LLC,1,398,1085.7,24226274
Baring Fintech Fund III Managers Ltd,1,1,1083.7,13870945
Clarity Financial LLC,1,113,1081.3,9316625
Shepherd Financial Partners LLC,1,242,1079.3,10524035
"McIlrath & Eck, LLC",1,875,1076.5,18185932
"Goodnow Investment Group, LLC",1,21,1071.9,9955101
Abc Arbitrage SA,1,252,1068.0,42018478
"Knollwood Investment Advisory, LLC",1,307,1064.9,11819184
Pertento Partners LLP,1,16,1064.8,35207439
Nemes Rush Group LLC,1,936,1063.8,7822053
RDST Capital LLC,1,18,1061.3,16203951
"Capital Investment Services of America, Inc.",1,79,1059.7,7156325
"Angelo Gordon & Co., L.P.",1,44,1059.4,439513495
Discerene Group LP,1,12,1056.3,64561751
KWB Wealth,1,164,1055.8,19206024
MASTERINVEST Kapitalanlage GmbH,1,264,1053.1,6448795
"Triad Wealth Partners, LLC",1,398,1052.4,16284599
Summit Partners L P,1,8,1051.0,71793876
Parkman Healthcare Partners LLC,1,93,1050.5,36862618
Allen Holding Inc /NY/,1,9,1049.1,10968788
"Cornerstone Advisory, LLC",1,233,1048.7,14451992
"Berkshire Money Management, Inc.",1,113,1048.2,10116672
"Shellback Capital, LP",1,80,1047.9,14496620
Randolph Co Inc,1,41,1042.9,10992780
"Steigerwald, Gordon & Koch Inc.",1,832,1041.8,8784793
Rothschild Wealth LLC,1,492,1040.7,23641860
Tetrad Corp,1,3,1039.9,3734623
PSG Equity L.L.C.,1,1,1035.0,85464516
"Nextech Invest, Ltd.",1,16,1034.4,48695878
"Bfsg, LLC",1,674,1030.2,13513345
Dymon Asia Capital (singapore) Pte. Ltd.,1,144,1029.3,8023823
Westerkirk Capital Inc.,1,227,1026.3,8298135
Atlas FRM LLC,1,12,1023.8,35949954
"Global Strategic Investment Solutions, LLC",1,142,1023.0,14595603
"UNICOM Systems, Inc.",1,20,1022.9,12109846
Norden Group LLC,1,585,1021.4,10324215
"Gleason Group, Inc.",1,200,1019.8,8858212
"Abacus Wealth Partners, LLC",1,484,1019.3,32500626
Bruni J V & Co /CO/,1,29,1018.5,20820007
"Cornerstone Capital, Inc.",1,108,1014.2,8006685
"Goehring & Rozencwajg Associates, LLC",1,39,1009.4,44680500
Dendur Capital LP,1,15,1006.4,14939891
Great Hill Capital LLC,1,34,1006.0,19780427
Arrow Financial Corp,1,155,1003.1,14658979
Bbfit Investments Pte Ltd,1,8,1002.7,14967717
"Technology Crossover Management X, Ltd.",1,5,1002.3,56986912
MMCAP International Inc. SPC,1,69,1000.3,174378543
"Bensler, LLC",1,182,998.8,14647491
Villere St Denis J & Co LLC,1,77,996.7,14421652
"Uniplan Investment Counsel, Inc.",1,163,995.9,21946394
Consolidated Planning Corp,1,197,990.4,15258184
Relyea Zuckerberg Hanson LLC,1,256,990.0,7753251
Suncoast Equity Management,1,83,989.9,3759420
Volterra Technologies LP,1,163,989.7,7947816
Swf LLC,1,10,988.8,3809702
"MayTech Global Investments, LLC",1,25,987.7,5930425
"Rodgers & Associates, LTD",1,105,987.6,9856060
"Linden Thomas Advisory Services, LLC",1,471,986.6,10353609
"Cascade Financial Partners, LLC",1,260,986.5,9153554
"Cynosure Group, LLC",1,392,983.1,14029682
"Planning Center, Inc.",1,74,979.3,22011386
SPX Gestao de Recursos Ltda,1,50,978.9,51963390
"Pinkerton Retirement Specialists, LLC",1,137,975.5,12730429
Walmart Inc.,1,3,974.4,18375000
"Inscription Capital, LLC",1,647,973.9,11871744
"Sixth Street Partners Management Company, L.P.",1,7,973.6,48627942
SYM FINANCIAL Corp,1,401,973.4,18258501
Power Alpha Investment Ltd,1,5,972.8,1443741
Dream Peak Capital Ltd,1,5,971.0,5068538
"Samsara Biocapital, LLC",1,20,969.3,67870360
Shay Capital LLC,1,371,968.7,64986006
"Pembroke Management, LTD",1,87,967.9,17373776
Passaic Partners LLC,1,14,966.1,7586171
KADENSA CAPITAL Ltd,1,42,963.0,11796839
"Great Lakes Retirement, Inc.",1,192,961.8,11732382
Cutler Investment Counsel LLC,1,142,961.3,11558648
Tairen Capital Ltd,1,56,960.9,7896985
"Ullmann Wealth Partners Group, LLC",1,144,960.8,10236256
Galaxy Group Investments LLC,1,73,958.7,60847902
"Condire Management, LP",1,19,958.0,209421308
"Pinnacle Wealth Planning Services, Inc.",1,2470,957.8,20292681
Brehaut David Pascal,1,1,957.7,12257305
Mbb Public Markets I LLC,1,25,957.2,9161549
Archon Partners LLC,1,42,956.8,4030751
Absolute Gestao de Investimentos Ltda.,1,34,956.6,12333691
Rpo LLC,1,51,955.9,15655358
Sunriver Management LLC,1,23,953.9,32381278
"Newtyn Management, LLC",1,26,951.8,73120571
"Black Diamond Financial, LLC",1,171,948.6,14186924
"Intrua Financial, LLC",1,431,948.0,13919642
"Tamar Securities, LLC",1,80,947.4,5612067
"Graves Light Lenhart Wealth, Inc.",1,183,942.9,10501090
Middleton & Co Inc /MA/,1,158,941.8,4987565
"Marble Harbor Investment Counsel, LLC",1,180,935.5,8009369
Blueprint Investment Partners LLC,1,113,935.0,20240216
Gryphon Financial Partners LLC,1,321,934.7,6957967
Biglari Capital Corp.,1,12,932.7,8366788
"Philadelphia Financial Management of San Francisco, LLC",1,50,931.8,24311252
"Bedel Financial Consulting, Inc.",1,266,929.3,8355393
Water Island Capital LLC,1,64,927.6,75362990
Parthenon LLC,1,130,926.7,7804658
Curated Wealth Partners LLC,1,201,925.3,10484897
Indivisible Partners,1,407,922.2,11714589
Avenir Corp,1,69,921.7,14668489
Greenwood Capital Associates LLC,1,244,920.9,9653544
"DiNuzzo Private Wealth, Inc.",1,1324,919.2,21276390
Oak Harvest Investment Services,1,166,917.0,9031596
Flat Footed LLC,1,22,914.8,82148351
Altfest L J & Co Inc,1,301,913.5,18004987
"Columbus Macro, LLC",1,192,913.3,17942276
State of Wyoming,1,1643,913.0,26650510
Ardsley Advisory Partners LP,1,120,911.1,29537186
TLT Family Holdco ULC,1,8,910.8,6776701
Mak Capital One LLC,1,19,908.8,96472638
"Nuance Investments, LLC",1,42,907.6,23602126
"WealthShield Partners, LLC",1,486,906.8,11109774
"BlueStem Wealth Partners, LLC",1,118,905.7,20391735
V3 Holding Ltd,1,1,905.0,61316694
"L. Roy Papp & Associates, LLP",1,182,904.5,5457275
Ninepoint Partners LP,1,147,904.2,24149198
Caledonia Investments PLC,1,15,902.3,5707873
"Gateway Wealth Partners, LLC",1,415,898.5,15198733
Think Investments LP,1,22,897.3,21297774
Catalyst Financial Partners LLC,1,317,896.7,6895752
"LVZ, Inc.",1,142,894.5,16330450
Navellier & Associates Inc,1,303,892.4,10196652
"Rock Creek Group, LP",1,48,891.7,10118154
"Permian Investment Partners, LP",1,11,882.7,49626941
"RPG Investment Advisory, LLC",1,89,881.2,10552475
Romano Brothers and Company,1,309,880.0,6724965
"Minneapolis Portfolio Management Group, LLC",1,31,878.1,10401034
"Aperture Investors, LLC",1,79,875.4,14564724
"First Turn Management, LLC",1,31,875.2,17572171
Periscope Capital Inc. ,1,95,874.4,91852430
"Greenline Partners, LLC",1,147,874.1,10470535
Mpm Bioimpact LLC,1,34,874.0,56201950
"Destiny Wealth Partners, LLC",1,205,871.5,12138204
"Financial Plan, Inc.",1,83,871.1,17041250
Semper Augustus Investments Group LLC,1,37,869.6,10441380
"8 Knots Management, LLC",1,12,868.1,20601356
One Madison Group LLC,1,27,866.6,4827366
"Financial Partners Group, Inc",1,214,864.9,7705590
Baxter Bros Inc,1,163,864.2,4576484
"Portfolio Strategies, Inc.",1,58,863.7,5240363
"IAG Wealth Partners, LLC",1,463,863.6,15412273
"B&D White Capital Company, LLC",1,64,863.2,9519456
"Philip James Wealth Mangement, LLC",1,160,863.2,13295087
Viking Fund Management LLC,1,130,862.8,11094300
"Archford Capital Strategies, LLC",1,309,858.1,12856941
ION Fund Management Ltd,1,53,857.4,24682943
"Howard Financial Services, Ltd.",1,197,855.1,13902559
"Long Pond Capital, LP",1,30,851.2,51926046
"Revolve Wealth Partners, LLC",1,217,850.7,13290368
"Capital Investment Counsel, Inc",1,246,850.4,6013169
"Patton Albertson Miller Group, LLC",1,207,850.3,6732465
"ZEGA Investments, LLC",1,130,848.3,7065873
"Greatmark Investment Partners, Inc.",1,138,845.5,8791915
"Hill Investment Group Partners, LLC",1,48,840.6,17104345
Consolidated Investment Group LLC,1,66,835.9,3992812
Rodgers Brothers Inc.,1,233,835.4,7960710
BSW Wealth Partners,1,307,833.4,9453828
Brookwood Investment Group LLC,1,423,833.2,13261115
"Sloy Dahl & Holst, LLC",1,90,832.7,8288950
"Alta Park Capital, LP",1,31,831.1,14492700
"McMillan Office, Inc.",1,410,830.9,8880861
Titan Investment Solutions Ltd,1,57,830.9,3293696
Trustees of Columbia University in the City of New York,1,3,829.8,1264519
Numerai GP LLC,1,579,829.6,24204814
Oak Root LLC,1,11,827.3,8460735
"FORA Capital, LLC",1,391,827.1,13509698
Capricorn Investment Group LLC,1,5,826.0,84703856
LaFleur & Godfrey LLC,1,143,825.8,5283539
Triata Capital Ltd,1,15,825.1,42167938
Ally Financial Inc.,1,108,819.0,7761040
Bdf-Gestion,1,144,818.2,4332974
"Fund 1 Investments, LLC",1,47,817.6,62558693
"Lake Street Private Wealth, LLC",1,264,817.5,9404406
"Alpha Wave Global, LP",1,22,815.7,36670647
"Strategic Wealth Investment Group, LLC",1,90,813.6,9340556
City Holding Co,1,547,812.8,6160733
"Mass General Brigham, Inc",1,7,809.8,7154580
"Johnson Bixby & Associates, LLC",1,123,806.8,15917933
"Strid Group, LLC",1,75,803.4,21002094
IDG China Capital Fund III Associates L.P.,1,1,801.2,15694700
"Global Endowment Management, LP",1,128,801.1,10551099
Mjp Associates Inc /adv,1,235,799.5,9107139
Allen Operations LLC,1,34,799.2,18321522
GSK plc,1,13,799.0,51051181
Running Oak Capital LLC,1,55,798.0,4517508
"TFC Financial Management, Inc.",1,911,797.3,7444246
"Sargent Investment Group, LLC",1,250,797.2,9736065
Advisory Research Inc,1,135,795.7,16981820
"Gilbert & Cook, Inc.",1,217,795.6,7567211
Castellan Group,1,53,795.2,11553283
"Parkside Investments, LLC",1,91,794.1,10418850
Planning Alternatives Ltd /adv,1,97,793.9,6636458
Gemsstock Ltd.,1,22,793.4,15006324
Cortland Associates Inc /MO/,1,57,792.1,8359261
"Wealth Enhancement Trust Services, Inc.",1,702,791.6,13141939
Family Management Corp,1,270,791.3,7769902
Freedom Together Foundation,1,2,788.6,1947400
"Buck Wealth Strategies, LLC",1,153,787.9,7937954
"Hrtg Gpe, LLC",1,5,785.0,22699858
Eagle Strategies LLC,1,236,783.0,9639824
"D'Orazio & Associates, Inc.",1,273,782.5,8103029
