crd,firm_name,legal_name,city,state,aum_billions,name_match_score,flag
150764,"CAPITAL WEALTH PLANNING, LLC","CAPITAL WEALTH PLANNING, LLC",NAPLES,FL,11.42,100,MINOR_VARIANT
110601,MEKETA INVESTMENT GROUP INC,MEKETA INVESTMENT GROUP INC,WESTWOOD,MA,11.41,100,MINOR_VARIANT
113859,"COOKE & BIELER, L.P.","COOKE & BIELER, L.P.",PHILADELPHIA,PA,11.37,100,MINOR_VARIANT
105281,JENSEN INVESTMENT MANAGEMENT INC.,JENSEN INVESTMENT MANAGEMENT INC,LAKE OSWEGO,OR,11.24,98,MINOR_VARIANT
106830,EVERETT HARRIS & CO,EVERETT HARRIS & CO,LOS ANGELES,CA,10.9,100,MINOR_VARIANT
127132,"VALEO FINANCIAL ADVISORS, LLC","VALEO FINANCIAL ADVISORS, LLC",CARMEL,IN,10.64,100,MINOR_VARIANT
332305,NORTHCAPE CAPITAL,NORTHCAPE CAPITAL PTY LTD,"SYDNEY, NEW SOUTH WALES",,9.96,81,MINOR_VARIANT
110631,"PINNACLE ASSOCIATES, LTD.","PINNACLE ASSOCIATES, LTD.",NEW YORK,NY,9.87,100,MINOR_VARIANT
105690,TOCQUEVILLE ASSET MANAGEMENT LP,TOCQUEVILLE ASSET MANAGEMENT LP,NEW YORK,NY,9.66,100,MINOR_VARIANT
113128,"CULLEN CAPITAL MANAGEMENT, LLC","CULLEN CAPITAL MANAGEMENT, LLC",NEW YORK,NY,9.09,100,MINOR_VARIANT
106928,BRADLEY FOSTER & SARGENT INC,BRADLEY FOSTER & SARGENT INC,HARTFORD,CT,9.07,100,MINOR_VARIANT
106114,GARDNER RUSSO & QUINN LLC,GARDNER RUSSO & QUINN LLC,LANCASTER,PA,9.05,100,MINOR_VARIANT
104692,"FERGUSON WELLMAN CAPITAL MANAGEMENT, INC.","FERGUSON WELLMAN CAPITAL MANAGEMENT, INC.",PORTLAND,OR,8.99,100,MINOR_VARIANT
105179,"D.F. DENT AND COMPANY, INC.","D.F. DENT AND COMPANY, INC.",BALTIMORE,MD,8.6,100,MINOR_VARIANT
112758,"SIGNATUREFD, LLC","SIGNATUREFD, LLC",ATLANTA,GA,8.33,100,MINOR_VARIANT
119278,"HAMLIN CAPITAL MANAGEMENT, LLC","HAMLIN CAPITAL MANAGEMENT, LLC",NEW YORK,NY,8.33,100,MINOR_VARIANT
144516,"NICHOLAS HOFFMAN & COMPANY, LLC","NICHOLAS HOFFMAN & COMPANY, LLC",ATLANTA,GA,8.26,100,MINOR_VARIANT
2993,H.M. PAYSON,H. M. PAYSON & CO.,PORTLAND,ME,8.13,76,DBA_MISMATCH
105633,"BROWN CAPITAL MANAGEMENT, LLC","BROWN CAPITAL MANAGEMENT, LLC",BALTIMORE,MD,8.1,100,MINOR_VARIANT
168219,"ORGEL WEALTH MANAGEMENT, LLC","ORGEL WEALTH MANAGEMENT, LLC",ALTOONA,WI,8.06,100,MINOR_VARIANT
291902,"APOLLON WEALTH MANAGEMENT, LLC","APOLLON WEALTH MANAGEMENT, LLC",MOUNT PLEASANT,SC,7.72,100,MINOR_VARIANT
168652,RITHOLTZ WEALTH MANAGEMENT,RITHOLTZ WEALTH MANAGEMENT,NEW YORK,NY,7.7,100,MINOR_VARIANT
106234,WEDGE CAPITAL MANAGEMENT LLP,WEDGE CAPITAL MANAGEMENT LLP,CHARLOTTE,NC,7.65,100,MINOR_VARIANT
19258,"HARBOUR INVESTMENTS, INC.","HARBOUR INVESTMENTS, INC.",MADISON,WI,7.57,100,MINOR_VARIANT
106375,BROWN ADVISORY,SIGNATURE FINANCIAL MANAGEMENT INC,NORFOLK,VA,7.32,17,DBA_MISMATCH
105448,R M DAVIS INC,R M DAVIS INC,PORTLAND,ME,7.27,100,MINOR_VARIANT
146019,CONFLUENCE INVESTMENT MANAGEMENT LLC,CONFLUENCE INVESTMENT MANAGEMENT LLC,SAINT LOUIS,MO,7.25,100,MINOR_VARIANT
143567,"SMEAD CAPITAL MANAGEMENT, INC.","SMEAD CAPITAL MANAGEMENT, INC.",PHOENIX,AZ,7.17,100,MINOR_VARIANT
132330,"SIMON QUICK ADVISORS, LLC","SIMON QUICK ADVISORS, LLC",MORRISTOWN,NJ,7.07,100,MINOR_VARIANT
158508,"BATTERY GLOBAL ADVISORS, LLC","BATTERY GLOBAL ADVISORS, LLC",BOSTON,MA,6.9,100,MINOR_VARIANT
111087,"KORNITZER CAPITAL MANAGEMENT, INC.","KORNITZER CAPITAL MANAGEMENT, INC.",MISSION,KS,6.75,100,MINOR_VARIANT
152622,EMPIRICAL WEALTH MANAGEMENT,"EMPIRICAL FINANCIAL SERVICES, LLC",SEATTLE,WA,6.7,50,DBA_MISMATCH
147110,"EVENTIDE ASSET MANAGEMENT, LLC","EVENTIDE ASSET MANAGEMENT, LLC",BOSTON,MA,6.43,100,MINOR_VARIANT
